NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,REP_AREA,GIS_AREA,STATUS,STATUS_YR,SUB_LOC,PARENT_ISO,ISO3
Noel Kempff Mercado,Noel Kempff Mercado,Parque Nacional,National Park,National,II,16467.56178,16269.04796,Designated,1979,BO-B;BO-S,BOL,BOL
Parque Nacional Do Araguaia,Parque Nacional Do Araguaia,Parque,Park,National,II,5554.78,5589.366596,Designated,1959,BR-TO,BRA,BRA
Parque Nacional Da Chapada Dos Veadeiros,Parque Nacional Da Chapada Dos Veadeiros,Parque,Park,National,II,2405.84,2420.175378,Designated,1961,BR-GO,BRA,BRA
Parque Nacional Das Emas,Parque Nacional Das Emas,Parque,Park,National,II,1327.84,1335.074233,Designated,1961,BR-GO,BRA,BRA
Parque Nacional Da Serra Da Canastra,Parque Nacional Da Serra Da Canastra,Parque,Park,National,II,1979.73,1989.857966,Designated,1972,BR-MG,BRA,BRA
Parque Nacional De Brasília,Parque Nacional De Brasília,Parque,Park,National,II,423.555,425.9967165,Designated,1961,"BR-DF, GO",BRA,BRA
Estação Ecológica De Uruçuí-Una,Estação Ecológica De Uruçuí-Una,Estação Ecológica,Ecological Station,National,Ia,1351.25,1359.935201,Designated,1981,BR-PI,BRA,BRA
Parque Estadual De Vassununga,Parque Estadual De Vassununga,Parque,Park,National,II,20.6537,20.75470518,Designated,1970,BR-SP,BRA,BRA
Parque Estadual Serra Das Araras,Parque Estadual Serra Das Araras,Parque,Park,National,II,135.532,136.3171553,Designated,1998,BR-MG,BRA,BRA
Área De Relevante Interesse Ecológica Capetinga/Taquara,Área De Relevante Interesse Ecológica Capetinga/Taquara,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,20.5719,20.69008072,Designated,1985,BR-DF,BRA,BRA
Estação Ecológica De Pirapitinga,Estação Ecológica De Pirapitinga,Estação Ecológica,Ecological Station,National,Ia,13.8449,13.9196993,Designated,1987,BR-MG,BRA,BRA
Parque Nacional Grande Sertão Veredas,Parque Nacional Grande Sertão Veredas,Parque,Park,National,II,2308.51,2321.969489,Designated,1989,BR-MG,BRA,BRA
Parque Nacional Da Chapada Dos Guimarães,Parque Nacional Da Chapada Dos Guimarães,Parque,Park,National,II,326.466,328.3567153,Designated,1989,BR-MT,BRA,BRA
Estação Ecológica De Águas Emendadas,Estação Ecológica De Águas Emendadas,Estação Ecológica,Ecological Station,National,Ia,91.8079,92.33791247,Designated,1968,BR-DF,BRA,BRA
Estação Ecológica De Bauru,Estação Ecológica De Bauru,Estação Ecológica,Ecological Station,National,Ia,2.80654,2.820051257,Designated,1961,BR-SP,BRA,BRA
Estação Ecológica Ibicatu,Estação Ecológica Ibicatu,Estação Ecológica,Ecological Station,National,Ia,0.816686,0.820543057,Designated,1958,BR-SP,BRA,BRA
Estação Ecológica De Itirapina,Estação Ecológica De Itirapina,Estação Ecológica,Ecological Station,National,Ia,22.0571,22.16330504,Designated,1984,BR-SP,BRA,BRA
Estação Ecológica Jataí,Estação Ecológica Jataí,Estação Ecológica,Ecological Station,National,Ia,90.0011,90.44354596,Designated,1982,BR-SP,BRA,BRA
Estação Ecológica De Ribeirão Preto,Estação Ecológica De Ribeirão Preto,Estação Ecológica,Ecological Station,National,Ia,1.53947,1.547130698,Designated,1982,BR-SP,BRA,BRA
Estação Ecológica De Santa Bárbara,Estação Ecológica De Santa Bárbara,Estação Ecológica,Ecological Station,National,Ia,31.6445,31.79371305,Designated,1984,BR-SP,BRA,BRA
Parque Estadual Da Serra De Caldas Novas,Parque Estadual Da Serra De Caldas Novas,Parque,Park,National,II,121.587,122.2541569,Designated,1970,BR-GO,BRA,BRA
Parque Nacional Da Serra Do Cipó,Parque Nacional Da Serra Do Cipó,Parque,Park,National,II,316.391,318.0548599,Designated,1984,BR-MG,BRA,BRA
Reserva Biológica Do Guará,Reserva Biológica Do Guará,Reserva Biológica,Biological Reserve,National,Ia,1.45369,1.462040592,Designated,1988,BR-DF,BRA,BRA
Estação Ecológica De Itapeva,Estação Ecológica De Itapeva,Estação Ecológica,Ecological Station,National,Ia,0.992319,0.996783167,Designated,1985,BR-SP,BRA,BRA
Parque Estadual De Águas Quentes,Parque Estadual De Águas Quentes,Parque,Park,National,II,15.068,15.15438959,Designated,1978,BR-MT,BRA,BRA
Reserva Biológica Culuene,Reserva Biológica Culuene,Reserva Biológica,Biological Reserve,National,Ia,36.1367,36.35220293,Designated,1989,BR-MT,BRA,BRA
Arie Paranoá Sul,Arie Paranoá Sul,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,0.398563,0.400852823,Designated,1988,BR-DF,BRA,BRA
Estação Ecológica Do Jardim Botânico,Estação Ecológica Do Jardim Botânico,Estação Ecológica,Ecological Station,National,Ia,45.0249,45.28289453,Designated,1992,BR-DF,BRA,BRA
Estação Ecológica Itaberá,Estação Ecológica Itaberá,Estação Ecológica,Ecological Station,National,Ia,1.77839,1.786470401,Designated,1957,BR-SP,BRA,BRA
Estação Ecológica Mata Do Jacaré,Estação Ecológica Mata Do Jacaré,Estação Ecológica,Ecological Station,National,Ia,0.826882,0.830882315,Designated,1961,BR-SP,BRA,BRA
Parque Estadual Serra Santa Bárbara,Parque Estadual Serra Santa Bárbara,Parque,Park,National,II,1204.32,1211.379501,Designated,1997,BR-MT,BRA,BRA
Parque Estadual Serra Ricardo Franco,Parque Estadual Serra Ricardo Franco,Parque,Park,National,II,1578.34,1587.65794,Designated,1997,BR-MT,BRA,BRA
Área De Relevante Interesse Ecológica Matão De Cosmópolis,Área De Relevante Interesse Ecológica Matão De Cosmópolis,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,1.73088,1.739098587,Designated,1985,BR-SP,BRA,BRA
Parque Nacional Serra Das Confusões,Parque Nacional Serra Das Confusões,Parque,Park,National,II,8238.38,8291.280139,Designated,1998,BR-PI,BRA,BRA
Serrania San Luis,San Luis,Parque Nacional - Publico,National Park,National,II,102.8255,107.50087,Designated,1991,PY-1,PRY,PRY
Paso Bravo,Paso Bravo,Parque Nacional - Publico,National Park,National,II,1100.1995,941.3440701,Designated,1998,PY-1,PRY,PRY
Área De Relevante Interesse Ecológica Pé-De-Gigante,Área De Relevante Interesse Ecológica Pé-De-Gigante,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,11.9905,12.04931822,Designated,1990,BR-SP,BRA,BRA
Parque Nacional Da Serra Da Bodoquena,Parque Nacional Da Serra Da Bodoquena,Parque,Park,National,II,769.755,773.6048537,Designated,2000,BR-MS,BRA,BRA
Parque Nacional Das Sempre Vivas,Parque Nacional Das Sempre Vivas,Parque,Park,National,II,1241.55,1248.356557,Designated,2002,BR-MG,BRA,BRA
Parque Nacional Cavernas Do Peruaçu,Parque Nacional Cavernas Do Peruaçu,Parque,Park,National,II,564.484,567.774352,Designated,1999,BR-MG,BRA,BRA
Refugio De Vida Silvestre Veredas Do Oeste Baiano,Refugio De Vida Silvestre Veredas Do Oeste Baiano,Refugio de Vida Silvestre,Wildlife Refuge,National,III,1280.49,1288.110462,Designated,2002,BR-BA,BRA,BRA
Estacao Ecologica Serra Geral Do Tocantins,Estacao Ecologica Serra Geral Do Tocantins,Estação Ecológica,Ecological Station,National,Ia,7070.85,7115.165382,Designated,2001,"BR-BA, TO",BRA,BRA
Parque Nacional Das Nascentes Do Rio Parnaiba,Parque Nacional Das Nascentes Do Rio Parnaiba,Parque,Park,National,II,7497.66,7545.214882,Designated,2002,"BR-BA, TO, MA, PI",BRA,BRA
Reserva Biológica Da Contagem,Reserva Biológica Da Contagem,Reserva Biológica,Biological Reserve,National,Ia,34.1171,34.31379838,Designated,2002,BR-DF,BRA,BRA
