"species","X","latitude","longitude","year","icmbio.cat"
"Akodon lindberghi",55,-21.5833,-44.5667,1990,"LC"
"Akodon lindberghi",56,-22.2943,-43.9326,1990,"LC"
"Akodon lindberghi",57,-21.6833,-43.45,1990,"LC"
"Akodon lindberghi",58,-20.35,-46.4833,1990,"LC"
"Akodon lindberghi",59,-15.6667,-48,1990,"LC"
"Akodon lindberghi",60,-21.7833,-46.5667,1990,"LC"
"Akodon lindberghi",61,-21.9636,-43.3119,1990,"LC"
"Akodon lindberghi",62,-22.4171,-43.0225,1990,"LC"
"Alectrurus tricolor",63,-16.3333,-48.9667,1816,"VU"
"Alectrurus tricolor",64,-22.8833,-49.25,1816,"VU"
"Alectrurus tricolor",65,-14.1335,-47.5104,1816,"VU"
"Alectrurus tricolor",66,-15.5333,-48.0667,1816,"VU"
"Alectrurus tricolor",67,-20.4715,-55.7875,1816,"VU"
"Alectrurus tricolor",68,-21.95,-45.8833,1816,"VU"
"Alectrurus tricolor",69,-21.9475,-44.1914,1816,"VU"
"Alectrurus tricolor",70,-21.1215,-56.4825,1816,"VU"
"Alectrurus tricolor",71,-15.7805,-47.9304,1816,"VU"
"Alectrurus tricolor",72,-23.7167,-48.5167,1816,"VU"
"Alectrurus tricolor",73,-15.4167,-55.8,1816,"VU"
"Alectrurus tricolor",74,-18.4085,-52.5494,1816,"VU"
"Alectrurus tricolor",75,-23.8833,-48.7667,1816,"VU"
"Alectrurus tricolor",76,-18.5445,-53.1295,1816,"VU"
"Alectrurus tricolor",77,-22.6,-46.4833,1816,"VU"
"Alectrurus tricolor",78,-19.5,-50.5,1816,"VU"
"Alectrurus tricolor",79,-15.5333,-47.6167,1816,"VU"
"Alectrurus tricolor",80,-22.8,-49.2167,1816,"VU"
"Alectrurus tricolor",81,-22.6,-46.95,1816,"VU"
"Alectrurus tricolor",82,-15.7833,-47.9167,1816,"VU"
"Alectrurus tricolor",83,-15.95,-47.9333,1816,"VU"
"Alectrurus tricolor",84,-21.4667,-54.9667,1816,"VU"
"Alectrurus tricolor",85,-23.6333,-47.9667,1816,"VU"
"Alectrurus tricolor",86,-21.2833,-54.8167,1816,"VU"
"Alectrurus tricolor",87,-21.5333,-54.9833,1816,"VU"
"Alectrurus tricolor",88,-19.4333,-48,1816,"VU"
"Alectrurus tricolor",89,-21.7167,-44,1816,"VU"
"Alectrurus tricolor",90,-19.5,-56.2167,1816,"VU"
"Alectrurus tricolor",91,-22.1667,-47.9167,1816,"VU"
"Alectrurus tricolor",92,-15.8333,-46.5,1816,"VU"
"Alectrurus tricolor",93,-20.5333,-47.4,1816,"VU"
"Alectrurus tricolor",94,-20.4625,-47.1224,1816,"VU"
"Alectrurus tricolor",95,-24.05,-54.2,1816,"VU"
"Alectrurus tricolor",96,-19.0395,-47.9174,1816,"VU"
"Alectrurus tricolor",97,-23.4333,-47.6,1816,"VU"
"Alectrurus tricolor",98,-23.5333,-46.6167,1816,"VU"
"Alectrurus tricolor",99,-24.1167,-49.3333,1816,"VU"
"Alectrurus tricolor",100,-23.1,-48.6167,1816,"VU"
"Alectrurus tricolor",101,-22.2535,-47.8234,1816,"VU"
"Alectrurus tricolor",102,-24.25,-49.7,1816,"VU"
"Alectrurus tricolor",103,-19.6333,-43.8833,1816,"VU"
"Alectrurus tricolor",104,-19.8333,-47.95,1816,"VU"
"Alectrurus tricolor",105,-19.9965,-46.2264,1816,"VU"
"Alectrurus tricolor",106,-17.5695,-52.5514,1816,"VU"
"Alectrurus tricolor",107,-20.2333,-56.3667,1816,"VU"
"Alectrurus tricolor",108,-22.4333,-46.9667,1816,"VU"
"Alectrurus tricolor",109,-19.9667,-43.85,1816,"VU"
"Alectrurus tricolor",110,-16.9167,-50.7833,1816,"VU"
"Alectrurus tricolor",111,-19.7167,-44.8,1816,"VU"
"Alectrurus tricolor",112,-12.6167,-47.8667,1816,"VU"
"Alectrurus tricolor",113,-14.1167,-47.5167,1816,"VU"
"Alectrurus tricolor",114,-18,-52.75,1816,"VU"
"Alectrurus tricolor",115,-15.7167,-47.95,1816,"VU"
"Alectrurus tricolor",116,-23.6667,-54,1816,"VU"
"Alectrurus tricolor",117,-18.9445,-46.9934,1816,"VU"
"Alectrurus tricolor",118,-22.35,-48.7667,1816,"VU"
"Alectrurus tricolor",119,-22.7167,-47.6167,1816,"VU"
"Alectrurus tricolor",120,-15.6167,-47.6667,1816,"VU"
"Alectrurus tricolor",121,-15.9333,-47.8833,1816,"VU"
"Alectrurus tricolor",122,-18.8,-47.8833,1816,"VU"
"Alectrurus tricolor",123,-22.25,-47.8667,1816,"VU"
"Alectrurus tricolor",124,-19.8655,-47.4404,1816,"VU"
"Alectrurus tricolor",125,-16.3667,-45.0667,1816,"VU"
"Alectrurus tricolor",126,-20.2455,-46.3664,1816,"VU"
"Alectrurus tricolor",127,-20.25,-46.6167,1816,"VU"
"Alectrurus tricolor",128,-19.45,-44.2333,1816,"VU"
"Alectrurus tricolor",129,-15.8167,-48.05,1816,"VU"
"Alectrurus tricolor",130,-20.4425,-54.8605,1816,"VU"
"Alectrurus tricolor",131,-19.75,-47.9167,1816,"VU"
"Alectrurus tricolor",132,-19.7485,-47.9324,1816,"VU"
"Alectrurus tricolor",133,-16.2,-47.2833,1816,"VU"
"Alectrurus tricolor",134,-19.2,-43.95,1816,"VU"
"Alectrurus tricolor",135,-22.7833,-48.4,1816,"VU"
"Alectrurus tricolor",136,-13.7667,-68.05,1816,"VU"
"Alectrurus tricolor",137,-23.35,-55.9167,1816,"VU"
"Alectrurus tricolor",138,-26.4167,-55.6667,1816,"VU"
"Alectrurus tricolor",139,-22.6667,-57.35,1816,"VU"
"Alectrurus tricolor",140,-22.5,-57,1816,"VU"
"Alectrurus tricolor",141,-28,-58.0833,1816,"VU"
"Alectrurus tricolor",142,-27.4667,-58.8333,1816,"VU"
"Alectrurus tricolor",143,-14.8833,-66.85,1816,"VU"
"Alectrurus tricolor",144,-14.75,-66.5,1816,"VU"
"Alectrurus tricolor",145,-14.8667,-66.3167,1816,"VU"
"Alectrurus tricolor",146,-15.1667,-65.5,1816,"VU"
"Alectrurus tricolor",147,-24.45,-56.9833,1816,"VU"
"Alectrurus tricolor",148,-23.8167,-56.3,1816,"VU"
"Alectrurus tricolor",149,-23.9,-56.5667,1816,"VU"
"Alectrurus tricolor",150,-17.5833,-61.7667,1816,"VU"
"Alipiopsitta xanthops",151,-14.5333,-47.4333,1824,"LC"
"Alipiopsitta xanthops",152,-16.2045,-48.7074,1824,"LC"
"Alipiopsitta xanthops",153,-9.6215,-49.1514,1824,"LC"
"Alipiopsitta xanthops",154,-20.4485,-52.8784,1824,"LC"
"Alipiopsitta xanthops",155,-14.9865,-47.7844,1824,"LC"
"Alipiopsitta xanthops",156,-16.0825,-48.5074,1824,"LC"
"Alipiopsitta xanthops",157,-17.3155,-53.2155,1824,"LC"
"Alipiopsitta xanthops",158,-14.1335,-47.5104,1824,"LC"
"Alipiopsitta xanthops",159,-9.1115,-45.9304,1824,"LC"
"Alipiopsitta xanthops",160,-20.3215,-49.9114,1824,"LC"
"Alipiopsitta xanthops",161,-16.3275,-48.9534,1824,"LC"
"Alipiopsitta xanthops",162,-22.1535,-53.7715,1824,"LC"
"Alipiopsitta xanthops",163,-15.5333,-48.0667,1824,"LC"
"Alipiopsitta xanthops",164,-20.0875,-51.0944,1824,"LC"
"Alipiopsitta xanthops",165,-18.9655,-51.9264,1824,"LC"
"Alipiopsitta xanthops",166,-20.4715,-55.7875,1824,"LC"
"Alipiopsitta xanthops",167,-15.7345,-51.8314,1824,"LC"
"Alipiopsitta xanthops",168,-19.5935,-46.9414,1824,"LC"
"Alipiopsitta xanthops",169,-15.9167,-46.0667,1824,"LC"
"Alipiopsitta xanthops",170,-14.9205,-51.0834,1824,"LC"
"Alipiopsitta xanthops",171,-16.2795,-55.9585,1824,"LC"
"Alipiopsitta xanthops",172,-15.8905,-52.2574,1824,"LC"
"Alipiopsitta xanthops",173,-7.6895,-47.6834,1824,"LC"
"Alipiopsitta xanthops",174,-20.5575,-48.5684,1824,"LC"
"Alipiopsitta xanthops",175,-21.7145,-52.4225,1824,"LC"
"Alipiopsitta xanthops",176,-22.2955,-53.2715,1824,"LC"
"Alipiopsitta xanthops",177,-22.1095,-56.5215,1824,"LC"
"Alipiopsitta xanthops",178,-19.7167,-45.25,1824,"LC"
"Alipiopsitta xanthops",179,-16.5675,-45.9904,1824,"LC"
"Alipiopsitta xanthops",180,-21.1,-56.5167,1824,"LC"
"Alipiopsitta xanthops",181,-20.9667,-56.5,1824,"LC"
"Alipiopsitta xanthops",182,-21.1215,-56.4825,1824,"LC"
"Alipiopsitta xanthops",183,-21.2565,-52.0374,1824,"LC"
"Alipiopsitta xanthops",184,-17.0105,-46.0094,1824,"LC"
"Alipiopsitta xanthops",185,-15.7805,-47.9304,1824,"LC"
"Alipiopsitta xanthops",186,-15.2415,-51.1614,1824,"LC"
"Alipiopsitta xanthops",187,-15.6333,-46.4167,1824,"LC"
"Alipiopsitta xanthops",188,-17.3515,-44.9624,1824,"LC"
"Alipiopsitta xanthops",189,-14.3333,-55.9333,1824,"LC"
"Alipiopsitta xanthops",190,-17.7445,-48.6264,1824,"LC"
