"species","rangeAnt","percNatCat","X","latitude","longitude"
"Amphisbaena anaemariae",199626,"<30%",515,-16.1208,-48.4856
"Amphisbaena anaemariae",199626,"<30%",516,-16.3051,-48.9724
"Amphisbaena anaemariae",199626,"<30%",517,-15.7099,-48.0224
"Amphisbaena anaemariae",199626,"<30%",523,-22.0483,-52.7342
"Amphisbaena anaemariae",199626,"<30%",522,-11.0333,-48.2167
"Amphisbaena anaemariae",199626,"<30%",518,-15.7667,-47.9167
"Amphisbaena anaemariae",199626,"<30%",519,-19.035,-47.9169
"Amphisbaena anaemariae",199626,"<30%",520,-16.5541,-48.0218
"Amphisbaena anaemariae",199626,"<30%",521,-18.25,-52.8833
"Amphisbaena bedai",1193,"<30%",525,-20.4667,-55.7833
"Amphisbaena bedai",1193,"<30%",526,-21.45,-56.1
"Amphisbaena bedai",1193,"<30%",524,-20.7677,-55.6076
"Amphisbaena leeseri",77714,"<30%",551,-21.45,-56.1
"Amphisbaena leeseri",77714,"<30%",552,-20.9828,-51.7892
"Amphisbaena leeseri",77714,"<30%",553,-22.2833,-53.25
"Amphisbaena leeseri",77714,"<30%",550,-19,-57.65
"Amphisbaena leeseri",77714,"<30%",549,-19.2167,-57.55
"Amphisbaena leeseri",77714,"<30%",546,-20.4667,-55.7833
"Amphisbaena leeseri",77714,"<30%",547,-22.1092,-56.5208
"Amphisbaena leeseri",77714,"<30%",554,-22.241,-57.615
"Amphisbaena leeseri",77714,"<30%",548,-19.0092,-57.6533
"Amphisbaena sanctaeritae",503,"<30%",559,-21.7312,-47.4959
"Amphisbaena sanctaeritae",503,"<30%",560,-21.7833,-47.6
"Apostolepis barrioi*",185605,"<30%",1247,-20.459,-55.7756
"Apostolepis barrioi*",185605,"<30%",1253,-22.79,-47.06
"Apostolepis barrioi*",185605,"<30%",1254,-22.2167,-54.8
"Apostolepis barrioi*",185605,"<30%",1255,-21.4917,-56.4031
"Apostolepis barrioi*",185605,"<30%",1256,-21.6661,-48.4472
"Apostolepis barrioi*",185605,"<30%",1257,-21.6417,-48.35
"Apostolepis barrioi*",185605,"<30%",1258,-22.554,-45.78
"Apostolepis barrioi*",185605,"<30%",1259,-21.1833,-47.8167
"Apostolepis barrioi*",185605,"<30%",1260,-21.8,-54.5333
"Apostolepis barrioi*",185605,"<30%",1261,-21.2333,-48.8
"Apostolepis barrioi*",185605,"<30%",1266,-22.79,-51.88
"Apostolepis barrioi*",185605,"<30%",1267,-23.4667,-56.5167
"Apostolepis barrioi*",185605,"<30%",1268,-22.5833,-56.0333
"Apostolepis barrioi*",185605,"<30%",1269,-24.5,-56.6833
"Apostolepis barrioi*",185605,"<30%",1270,-25.54,-56.62
"Apostolepis barrioi*",185605,"<30%",1271,-23.81,-56.45
"Apostolepis barrioi*",185605,"<30%",1249,-23.1181,-46.5875
"Apostolepis barrioi*",185605,"<30%",1250,-20.9667,-48.5625
"Apostolepis barrioi*",185605,"<30%",1251,-22.9,-46.61
"Apostolepis barrioi*",185605,"<30%",1248,-21.7944,-48.1756
"Apostolepis barrioi*",185605,"<30%",1265,-23.44,-46.76
"Apostolepis barrioi*",185605,"<30%",1262,-21.7,-47.2667
"Apostolepis barrioi*",185605,"<30%",1263,-21.6672,-47.3114
"Apostolepis barrioi*",185605,"<30%",1252,-22.2833,-48.1167
"Apostolepis barrioi*",185605,"<30%",1264,-18.9167,-48.2833
"Bachia bresslaui",316500,"<30%",2077,-16.0111,-47.9436
"Bachia bresslaui",316500,"<30%",2076,-15.7099,-48.0224
"Bachia bresslaui",316500,"<30%",2081,-22.6333,-56.05
"Bachia bresslaui",316500,"<30%",2078,-15.3,-55.85
"Bachia bresslaui",316500,"<30%",2079,-18.25,-52.8833
"Bachia bresslaui",316500,"<30%",2080,-17.2167,-46.8667
"Bachia bresslaui",316500,"<30%",2074,-17.9833,-53.6167
"Bachia bresslaui",316500,"<30%",2075,-22.1833,-52.7167
"Boana stenocephala",535,"<30%",2353,-21.80754425,-46.5631165
"Boana stenocephala",535,"<30%",2354,-19.90466186,-47.26610604
"Boana stenocephala",535,"<30%",2355,-21.8075,-46.5631
"Bokermannohyla izecksohni*",279,"<30%",2384,-22.86220891,-48.46785113
"Bokermannohyla napolii",663,"<30%",2400,-19.2676,-46.0337
"Bokermannohyla napolii",663,"<30%",2398,-19.2,-47.1333
