"species","rangeAnt","percNatCat","X","latitude","longitude"
"Akodon kadiweu",33,">80%",54,-20.7,-56.8667
"Ameiva parecis",59,">80%",490,-12.5353,-60.4267
"Ameivula jalapensis",1,">80%",502,-10.4167,-47.1
"Ameivula jalapensis",1,">80%",503,-10.3,-46.95
"Ameivula mumbuca",28,">80%",504,-11.6167,-46.8167
"Ameivula mumbuca",28,">80%",505,-10.2628,-46.5655
"Ameivula xacriaba*",5084,">80%",511,-15.372,-44.485
"Ameivula xacriaba*",5084,">80%",512,-15.203,-46.231
"Ameivula xacriaba*",5084,">80%",507,-15.2,-45.8333
"Ameivula xacriaba*",5084,">80%",510,-12.28,-45.08
"Ameivula xacriaba*",5084,">80%",509,-15.1547,-44.305
"Ameivula xacriaba*",5084,">80%",506,-15.9175,-46.1064
"Ameivula xacriaba*",5084,">80%",508,-14.0167,-44.77
"Amphisbaena acrobeles",0,">80%",514,-10.5946,-46.7707
"Amphisbaena crisae",227,">80%",535,-12.9417,-51.8242
"Amphisbaena crisae",227,">80%",532,-10.6833,-50.6333
"Amphisbaena crisae",227,">80%",533,-11.8333,-50.3333
"Amphisbaena crisae",227,">80%",534,-18.25,-52.8833
"Amphisbaena kraoh",1752,">80%",542,-10.7022,-46.4128
"Amphisbaena kraoh",1752,">80%",543,-10.1891,-48.1085
"Amphisbaena kraoh",1752,">80%",544,-8.9675,-48.1747
"Amphisbaena kraoh",1752,">80%",545,-10.5333,-46.4167
"Amphisbaena maranhensis",46,">80%",555,-7.1525,-45.3039
"Amphisbaena saxosa",4,">80%",561,-9.75,-48.35
"Apostolepis adhara*",62,">80%",890,-12.8053,-48.2199
"Apostolepis cerradoensis",56,">80%",1272,-13.8098,-48.3491
"Apostolepis christineae",70,">80%",1273,-15.654,-57.214
"Apostolepis longicaudata",1958,">80%",1320,-9.1,-45.9167
"Apostolepis longicaudata",1958,">80%",1318,-8.8333,-48.5
"Apostolepis longicaudata",1958,">80%",1319,-10.7333,-46.7833
"Apostolepis polylepis",19756,">80%",1334,-8.9717,-48.1755
"Apostolepis polylepis",19756,">80%",1335,-9.1,-45.9167
"Apostolepis polylepis",19756,">80%",1336,-8.8342,-48.5103
"Apostolepis polylepis",19756,">80%",1330,-7.195,-47.2353
"Apostolepis polylepis",19756,">80%",1331,-8.0579,-48.4772
