"species","X","latitude","longitude","prot_perc_cat"
"Ameerega berohoka",418,-20.4511,-55.6211,"<1%"
"Ameerega berohoka",419,-16.4447,-51.3936,"<1%"
"Ameerega berohoka",420,-15.6915,-52.4134,"<1%"
"Ameerega berohoka",421,-19.793,-54.9311,"<1%"
"Ameerega berohoka",422,-17.0703,-54.9183,"<1%"
"Ameerega berohoka",423,-17.5694,-52.5511,"<1%"
"Ameerega berohoka",424,-14.5924,-52.409,"<1%"
"Ameerega berohoka",425,-16.4269,-51.8222,"<1%"
"Ameerega berohoka",426,-19.5754,-54.8935,"<1%"
"Ameerega berohoka",427,-19.1002,-54.7858,"<1%"
"Ameerega berohoka",428,-17.2442,-53.069,"<1%"
"Amphisbaena anaemariae",515,-16.1208,-48.4856,"<1%"
"Amphisbaena anaemariae",516,-16.3051,-48.9724,"<1%"
"Amphisbaena anaemariae",517,-15.7099,-48.0224,"<1%"
"Amphisbaena anaemariae",518,-15.7667,-47.9167,"<1%"
"Amphisbaena anaemariae",519,-19.035,-47.9169,"<1%"
"Amphisbaena anaemariae",520,-16.5541,-48.0218,"<1%"
"Amphisbaena anaemariae",521,-18.25,-52.8833,"<1%"
"Amphisbaena anaemariae",522,-11.0333,-48.2167,"<1%"
"Amphisbaena anaemariae",523,-22.0483,-52.7342,"<1%"
"Amphisbaena cuiabana",536,-15.4667,-58.35,"<1%"
"Amphisbaena cuiabana",537,-13.6667,-57.8833,"<1%"
"Amphisbaena cuiabana",538,-15.45,-55.7333,"<1%"
"Amphisbaena cuiabana",539,-15.5961,-56.0967,"<1%"
"Amphisbaena leeseri",546,-20.4667,-55.7833,"<1%"
"Amphisbaena leeseri",547,-22.1092,-56.5208,"<1%"
"Amphisbaena leeseri",548,-19.0092,-57.6533,"<1%"
"Amphisbaena leeseri",549,-19.2167,-57.55,"<1%"
"Amphisbaena leeseri",550,-19,-57.65,"<1%"
"Amphisbaena leeseri",551,-21.45,-56.1,"<1%"
"Amphisbaena leeseri",552,-20.9828,-51.7892,"<1%"
"Amphisbaena leeseri",553,-22.2833,-53.25,"<1%"
"Amphisbaena leeseri",554,-22.241,-57.615,"<1%"
"Apostolepis assimilis*",905,-15.75,-48.2667,"<1%"
"Apostolepis assimilis*",906,-15.7333,-48.2833,"<1%"
"Apostolepis assimilis*",907,-21.9833,-44.6083,"<1%"
"Apostolepis assimilis*",908,-23.5333,-47.25,"<1%"
"Apostolepis assimilis*",909,-23.1167,-55.2167,"<1%"
"Apostolepis assimilis*",910,-23.1029,-55.2209,"<1%"
"Apostolepis assimilis*",911,-23.0375,-55.1944,"<1%"
"Apostolepis assimilis*",912,-22.0667,-46.5667,"<1%"
"Apostolepis assimilis*",913,-22.7833,-48.1167,"<1%"
