"species","latitude","longitude","taxa","icmbio.cat"
"Alectrurus tricolor",-16.3333,-48.9667,"Birds","VU"
"Alectrurus tricolor",-22.8833,-49.25,"Birds","VU"
"Alectrurus tricolor",-14.1335,-47.5104,"Birds","VU"
"Alectrurus tricolor",-15.5333,-48.0667,"Birds","VU"
"Alectrurus tricolor",-20.4715,-55.7875,"Birds","VU"
"Alectrurus tricolor",-21.95,-45.8833,"Birds","VU"
"Alectrurus tricolor",-21.9475,-44.1914,"Birds","VU"
"Alectrurus tricolor",-21.1215,-56.4825,"Birds","VU"
"Alectrurus tricolor",-15.7805,-47.9304,"Birds","VU"
"Alectrurus tricolor",-23.7167,-48.5167,"Birds","VU"
"Alectrurus tricolor",-15.4167,-55.8,"Birds","VU"
"Alectrurus tricolor",-18.4085,-52.5494,"Birds","VU"
"Alectrurus tricolor",-23.8833,-48.7667,"Birds","VU"
"Alectrurus tricolor",-18.5445,-53.1295,"Birds","VU"
"Alectrurus tricolor",-22.6,-46.4833,"Birds","VU"
"Alectrurus tricolor",-19.5,-50.5,"Birds","VU"
"Alectrurus tricolor",-15.5333,-47.6167,"Birds","VU"
"Alectrurus tricolor",-22.8,-49.2167,"Birds","VU"
"Alectrurus tricolor",-22.6,-46.95,"Birds","VU"
"Alectrurus tricolor",-15.7833,-47.9167,"Birds","VU"
"Alectrurus tricolor",-15.95,-47.9333,"Birds","VU"
"Alectrurus tricolor",-21.4667,-54.9667,"Birds","VU"
"Alectrurus tricolor",-23.6333,-47.9667,"Birds","VU"
"Alectrurus tricolor",-21.2833,-54.8167,"Birds","VU"
"Alectrurus tricolor",-21.5333,-54.9833,"Birds","VU"
"Alectrurus tricolor",-19.4333,-48,"Birds","VU"
"Alectrurus tricolor",-21.7167,-44,"Birds","VU"
"Alectrurus tricolor",-19.5,-56.2167,"Birds","VU"
"Alectrurus tricolor",-22.1667,-47.9167,"Birds","VU"
"Alectrurus tricolor",-15.8333,-46.5,"Birds","VU"
"Alectrurus tricolor",-20.5333,-47.4,"Birds","VU"
"Alectrurus tricolor",-20.4625,-47.1224,"Birds","VU"
"Alectrurus tricolor",-24.05,-54.2,"Birds","VU"
"Alectrurus tricolor",-19.0395,-47.9174,"Birds","VU"
"Alectrurus tricolor",-23.4333,-47.6,"Birds","VU"
"Alectrurus tricolor",-23.5333,-46.6167,"Birds","VU"
"Alectrurus tricolor",-24.1167,-49.3333,"Birds","VU"
"Alectrurus tricolor",-23.1,-48.6167,"Birds","VU"
"Alectrurus tricolor",-22.2535,-47.8234,"Birds","VU"
"Alectrurus tricolor",-24.25,-49.7,"Birds","VU"
"Alectrurus tricolor",-19.6333,-43.8833,"Birds","VU"
"Alectrurus tricolor",-19.8333,-47.95,"Birds","VU"
"Alectrurus tricolor",-19.9965,-46.2264,"Birds","VU"
"Alectrurus tricolor",-17.5695,-52.5514,"Birds","VU"
"Alectrurus tricolor",-20.2333,-56.3667,"Birds","VU"
"Alectrurus tricolor",-22.4333,-46.9667,"Birds","VU"
"Alectrurus tricolor",-19.9667,-43.85,"Birds","VU"
"Alectrurus tricolor",-16.9167,-50.7833,"Birds","VU"
"Alectrurus tricolor",-19.7167,-44.8,"Birds","VU"
"Alectrurus tricolor",-12.6167,-47.8667,"Birds","VU"
"Alectrurus tricolor",-14.1167,-47.5167,"Birds","VU"
"Alectrurus tricolor",-18,-52.75,"Birds","VU"
"Alectrurus tricolor",-15.7167,-47.95,"Birds","VU"
"Alectrurus tricolor",-23.6667,-54,"Birds","VU"
"Alectrurus tricolor",-18.9445,-46.9934,"Birds","VU"
"Alectrurus tricolor",-22.35,-48.7667,"Birds","VU"
"Alectrurus tricolor",-22.7167,-47.6167,"Birds","VU"
"Alectrurus tricolor",-15.6167,-47.6667,"Birds","VU"
"Alectrurus tricolor",-15.9333,-47.8833,"Birds","VU"
"Alectrurus tricolor",-18.8,-47.8833,"Birds","VU"
"Alectrurus tricolor",-22.25,-47.8667,"Birds","VU"
"Alectrurus tricolor",-19.8655,-47.4404,"Birds","VU"
"Alectrurus tricolor",-16.3667,-45.0667,"Birds","VU"
"Alectrurus tricolor",-20.2455,-46.3664,"Birds","VU"
"Alectrurus tricolor",-20.25,-46.6167,"Birds","VU"
"Alectrurus tricolor",-19.45,-44.2333,"Birds","VU"
"Alectrurus tricolor",-15.8167,-48.05,"Birds","VU"
"Alectrurus tricolor",-20.4425,-54.8605,"Birds","VU"
"Alectrurus tricolor",-19.75,-47.9167,"Birds","VU"
"Alectrurus tricolor",-19.7485,-47.9324,"Birds","VU"
"Alectrurus tricolor",-16.2,-47.2833,"Birds","VU"
"Alectrurus tricolor",-19.2,-43.95,"Birds","VU"
"Alectrurus tricolor",-22.7833,-48.4,"Birds","VU"
"Alectrurus tricolor",-13.7667,-68.05,"Birds","VU"
"Alectrurus tricolor",-23.35,-55.9167,"Birds","VU"
"Alectrurus tricolor",-26.4167,-55.6667,"Birds","VU"
"Alectrurus tricolor",-22.6667,-57.35,"Birds","VU"
"Alectrurus tricolor",-22.5,-57,"Birds","VU"
"Alectrurus tricolor",-28,-58.0833,"Birds","VU"
"Alectrurus tricolor",-27.4667,-58.8333,"Birds","VU"
"Alectrurus tricolor",-14.8833,-66.85,"Birds","VU"
"Alectrurus tricolor",-14.75,-66.5,"Birds","VU"
"Alectrurus tricolor",-14.8667,-66.3167,"Birds","VU"
"Alectrurus tricolor",-15.1667,-65.5,"Birds","VU"
"Alectrurus tricolor",-24.45,-56.9833,"Birds","VU"
"Alectrurus tricolor",-23.8167,-56.3,"Birds","VU"
"Alectrurus tricolor",-23.9,-56.5667,"Birds","VU"
