species,rangesize,area,code,area_total_i-iv,protected_range,prot_perc
Pseudopaludicola jazmynmcdonaldae*,"409","5493","1","49667","150",0.3667
Apostolepis phillipsae*,"736","5493","1","49667","2",0.0027
Proceratophrys cururu,"2291","5493","1","49667","316",0.1379
Scinax curicica,"19813","5493","1","49667","938",0.0473
Calassomys apicalis,"584","5493","1","49667","47",0.0805
Physalaemus deimaticus,"2352","5493","1","49667","87",0.0370
Gymnodactylus guttulatus,"362","5493","1","49667","1",0.0028
Physalaemus evangelistai,"5445","5493","1","49667","363",0.0667
Scinax pinimus,"719","5493","1","49667","2",0.0028
Amphisbaena sanctaeritae,"602","5493","1","49667","1",0.0017
Physalaemus claptoni*,"360","5493","1","49667","3",0.0083
Phalotris multipunctatus,"1055","5493","1","49667","8",0.0076
Pseudopaludicola mineira*,"722","5493","1","49667","309",0.4280
Phyllomys centralis,"1334","5493","1","49667","57",0.0427
Proceratophrys vielliardi,"21126","5493","1","49667","242",0.0115
Pseudis tocantins,"304291","5493","1","49667","10877",0.0357
Proceratophrys goyana,"100782","5493","1","49667","2507",0.0249
Proceratophrys moratoi,"226403","5493","1","49667","1009",0.0045
Proceratophrys rotundipalpebra,"376","5493","1","49667","252",0.6702
Proceratophrys salvatori,"28016","5493","1","49667","731",0.0261
Rhachisaurus brachylepis,"28584","5493","1","49667","1198",0.0419
Rhinella cerradensis,"611704","5493","1","49667","12574",0.0206
Rhinella inopina,"54769","5493","1","49667","2521",0.0460
Rhinella ocellata,"1659819","5493","1","49667","30483",0.0184
Pseudopaludicola facureae*,"64702","5493","1","49667","158",0.0024
Pseudopaludicola ternetzi*,"1068878","5493","1","49667","15541",0.0145
Pyrrhura pfrimeri,"13772","5493","1","49667","557",0.0404
Rhachidelus brazili,"1521523","5493","1","49667","7999",0.0053
Rhipidomys ipukensis,"34446","5493","1","49667","4600",0.1335
Rhipidomys macrurus,"1976730","5493","1","49667","35425",0.0179
Saltatricula atricollis,"4504410","5493","1","49667","49472",0.0110
Salvator duseni,"440647","5493","1","49667","11324",0.0257
Rhinella rubescens,"724425","5493","1","49667","10880",0.0150
Rhinella scitula,"77788","5493","1","49667","1840",0.0237
Rhinella sebbeni*,"14562","5493","1","49667","8",0.0005
Rhinella veredas,"86363","5493","1","49667","3609",0.0418
Scinax haddadorum*,"541","5493","1","49667","20",0.0370
Scinax machadoi,"25000","5493","1","49667","1572",0.0629
Scinax maracaya,"9703","5493","1","49667","278",0.0287
Scinax rogerioi,"153012","5493","1","49667","481",0.0031
Scinax canastrensis,"29866","5493","1","49667","1994",0.0668
Scinax centralis,"11094","5493","1","49667","48",0.0043
Scinax constrictus,"1067899","5493","1","49667","16105",0.0151
Simophis rhinostoma,"1421441","5493","1","49667","11940",0.0084
Sporophila nigrorufa,"107707","5493","1","49667","1213",0.0113
Stenocercus quinarius,"48388","5493","1","49667","3516",0.0727
Scinax rossaferesae*,"4627","5493","1","49667","148",0.0320
Scinax skaios,"38789","5493","1","49667","744",0.0192
Scinax tigrinus,"44500","5493","1","49667","603",0.0136
Scytalopus novacapitalis,"89692","5493","1","49667","1284",0.0143
