species,rangesize,code,area_total,protected_range,prot_perc
Hylaeamys acritus,"63007","1","77538","6940",0.1101
Juscelinomys huanchacae,"1201","1","77538","1201",1.0000
Pseudopaludicola jazmynmcdonaldae*,"409","1","77538","184",0.4499
Apostolepis phillipsae*,"736","1","77538","393",0.5340
Tropidurus chromatops,"1787","1","77538","975",0.5456
Tropidurus callathelys,"877","1","77538","452",0.5154
Proceratophrys cururu,"2291","1","77538","426",0.1859
Scinax curicica,"19813","1","77538","1093",0.0552
Calassomys apicalis,"584","1","77538","412",0.7055
Physalaemus deimaticus,"2352","1","77538","104",0.0442
Gymnodactylus guttulatus,"362","1","77538","27",0.0746
Physalaemus evangelistai,"5445","1","77538","474",0.0871
Scinax pinimus,"719","1","77538","2",0.0028
Amphisbaena sanctaeritae,"602","1","77538","8",0.0133
Physalaemus claptoni*,"360","1","77538","57",0.1583
Oreobates remotus,"933","1","77538","389",0.4169
Phalotris multipunctatus,"1055","1","77538","8",0.0076
Pseudopaludicola mineira*,"722","1","77538","364",0.5042
Phyllomys centralis,"1334","1","77538","57",0.0427
Proceratophrys vielliardi,"21126","1","77538","242",0.0115
Pseudis tocantins,"304291","1","77538","11099",0.0365
Proceratophrys goyana,"100782","1","77538","2507",0.0249
Proceratophrys moratoi,"226403","1","77538","1027",0.0045
Proceratophrys rotundipalpebra,"376","1","77538","252",0.6702
Proceratophrys salvatori,"28016","1","77538","731",0.0261
Rhachisaurus brachylepis,"28584","1","77538","2306",0.0807
Rhinella cerradensis,"611704","1","77538","12574",0.0206
Rhinella inopina,"54769","1","77538","2607",0.0476
Rhinella ocellata,"1659819","1","77538","31130",0.0188
Pseudopaludicola facureae*,"64702","1","77538","158",0.0024
Pseudopaludicola ternetzi*,"1068878","1","77538","15763",0.0147
Pyrrhura pfrimeri,"13772","1","77538","557",0.0404
Rhachidelus brazili,"1521523","1","77538","8198",0.0054
Rhipidomys ipukensis,"34446","1","77538","4699",0.1364
Rhipidomys macrurus,"1976730","1","77538","40196",0.0203
Saltatricula atricollis,"4504410","1","77538","77308",0.0172
Salvator duseni,"440647","1","77538","11324",0.0257
Rhinella rubescens,"724425","1","77538","13409",0.0185
Rhinella scitula,"77788","1","77538","1865",0.0240
Rhinella sebbeni*,"14562","1","77538","8",0.0005
Rhinella veredas,"86363","1","77538","3609",0.0418
Scinax haddadorum*,"541","1","77538","20",0.0370
Scinax machadoi,"25000","1","77538","1876",0.0750
Scinax maracaya,"9703","1","77538","278",0.0287
Scinax rogerioi,"153012","1","77538","484",0.0032
Scinax canastrensis,"29866","1","77538","1994",0.0668
Scinax centralis,"11094","1","77538","48",0.0043
Scinax constrictus,"1067899","1","77538","16491",0.0154
Simophis rhinostoma,"1421441","1","77538","14475",0.0102
Sporophila nigrorufa,"107707","1","77538","11182",0.1038
Stenocercus albolineatus*,"138504","1","77538","96",0.0007
Stenocercus quinarius,"48388","1","77538","3601",0.0744
Scinax rossaferesae*,"4627","1","77538","174",0.0376
Scinax skaios,"38789","1","77538","744",0.0192
Scinax tigrinus,"44500","1","77538","603",0.0136
Scytalopus novacapitalis,"89692","1","77538","1284",0.0143
Taoniscus nanus,"1308726","1","77538","15832",0.0121
Thalpomys cerradensis,"957821","1","77538","33989",0.0355
Thalpomys lasiotis,"194904","1","77538","4384",0.0225
Thamnodynastes rutilus,"647749","1","77538","6277",0.0097
Stenocercus sinesaccus,"93473","1","77538","110",0.0012
