"species","redlistCategory","yearPublished","assessmentDate","habitat","threats","population","populationTrend"
"Euryoryzomys lamia","Vulnerable",2018,"2017-02-28 00:00:00 UTC","This species is regarded as a forest-dweller (Weksler 1996, Percequillo 1998), inhabiting gallery forests and a luxuriant semi-deciduous forest.&#160;This species is reported from habitats from 700 to 900 m (Eisenberg and Redford 1999). Recent published data suggest that it also occurs in Cerrado habitats, such as cerradão (a dry woodland savanna), cerrado <em>sensu stricto</em>, and campo úmido (both open habitats), although two specimens were captured in the ecotone with gallery forest (Bonvicino <em>et al.</em> 1998).","The major threats to this species are habitat destruction and fragmentation for conversion to agriculture, livestock and logging (Percequillo and Weksler 2008).","This rodent is known from only four localities and there is no information about its population or abundance. Of the four localities where it has been recorded, two have been completed destroyed due to agricultural expansion.","Decreasing"
"Hoplocercus spinosus","Least Concern",2021,"2014-08-04 00:00:00 UTC","Esta espécie ocorre no Cerrado e áreas de transição entre Cerrado e Caatinga, Pantanal e Floresta Amazônica (Avila-Pires 1995, Torres-Carvajal 2011). Parece favorecer manchas rochosas (R. Langstroth com. pess.&#160;2016). Única espécie de seu gênero. Apresenta cauda curta e deprimida, não autotômica e escamas espinhosas no dorso e lateralmente. Processos transversos das vértebras caudais aumentando em comprimento da primeira para a quarta vértebra caudal (Torres-Carvajal <em>et al</em>. 2011). Atinge até 105 mm de comprimento rostro-cloacal (Avila-Pires 1995). Espécie ativa durante a noite. Durante o dia são observados na entrada de tocas de 2 a 4 cm de diâmetro, em buracos de 30 a 40 cm de profundidade (Torres-Carvajal <em>et al</em>. 2011). Quando perturbados, inflam os corpos e pressionam contra as paredes da toca (Avila-Pires 1995). Sua dieta é composta de cupins, besouros, aranhas, escorpiões, gafanhotos, centopeias e formigas (Avila-Pires 1995). Há registro de parasitismo por <em>Cruzia rudolphii</em> (Avila <em>et al</em>. 2009), <em>Physaloptera</em> sp. (Avila <em>et al</em>. 2010), <em>Africana dardanelosi</em> (Ávila and Silva 2013), <em>Spinicauda spinicauda</em> (Avila and Silva 2011), entre outros.","Embora haja perda de vegetação nativa, na área de distribuição da espécie, causada pela conversão de área naturais em agricultura em larga escala, não há ameaças evidentes que possam levar a espécie a algum grau de risco de extinção.","Não há informações disponíveis sobre abundância para esta espécie. É difícil de detectar, com apenas alguns espécimes registrados na Bolívia  (R. Langstroth com. pess.&#160;2016). Embora seja provavelmente mais abundante do que sugere a escassez de registros, acredita-se que ocorra naturalmente em baixa abundância (R. Langstroth com. pess.&#160;2016).","Unknown"
"Coleodactylus brachystoma","Least Concern",2021,"2014-08-04 00:00:00 UTC","São lagartos pequenos, diurnos e noturnos, sendo os maiores do gênero (Moretti 2009). Apresentam membros curtos e cauda menor que o corpo, forrageiam em meio ao folhiço. Utilizam como microhábitat cupinzeiros, troncos caídos, fendas de rochas e detritos do solo (Brandão and Motta 2005, Gonçalves 2012). Como método de defesa, expõe sua cauda sobre o corpo aos predadores, retirando a atenção de áreas vitais para sua sobrevivência, assemelhando-se a um escorpião (Brandão and Motta 2005). Seu padrão de coloração, junto ao seu comportamento e utilização do mesmo microhábitat servem de evidências para seu comportamento mímico a espécies de escorpiões ocorrentes na mesma área (Brandão and Motta 2005). Seus possíveis predadores incluem as espécies de pássaros <em>Penelope superciliaris</em>, <em>Crotophaga ani</em>, <em>Guira guira</em>, <em>Pitangus sulphuratus</em>, <em>Myiarchus </em>spp., <em>Tyrannus melancholicus</em> e<em> Cariama cristata</em> e lagartos maiores como <em>Mabuya nigropunctata</em>, <em>Ameiva ameiva</em>, <em>Cnemidophorus ocellifer</em> e <em>Tupinambis</em> spp (Brandão and Motta 2005). Espécie caracterizada pela ausência de lamelas adesivas nos dígitos,  pele granular, escamas pequenas e olhos grandes com pupila redonda. O  estojo é composto de cinco escamas em uma conformação assimétrica.  Escamas ventrais e dorsais lisas, sendo as ventrais maiores que as  dorsais. Poros pré-anais e femorais ausentes. Rostral grande,  dorsalmente deprimida; cauda curta (Moretti 2009). Gamble et al (2008),  em filogenia com dados moleculares, propôs que Pseudogonatodes é grupo  irmão de <em>Coledactylus </em>e propõe que <em>C. brachystoma</em> é um grupo  monofilético e irmão de <em>C. meridionalis</em>. Possui comprimento  rostro-cloacal entre 14,96-29,06mm e comprimento da cauda de  13,49-27,43mm (Moretti 2009).","A forte pressão antrópica e a agricultura em larga escala causam intensa perda de hábitat em todo o Cerrado, o que pode reduzir o tamanho e/ou causar isolamento de suas subpopulações. Contudo, dada a ampla distribuição das espécies, é improvável que elas possam possam afetar a espécie ao ponto de colocá-la em riso de extinção.","Não há informações disponíveis sobre abundância para esta espécie. É de fácil visualização&#160; e localmente abundante.","Unknown"
"Bokermannohyla izecksohni","Critically Endangered",2004,"2004-04-30 00:00:00 UTC","It was originally found on vegetation or on forest leaf-litter near streams. The type specimen was found in a temporary pond, which has subsequently disappeared. It breeds in temporary ponds.","The type locality of the species has been destroyed by agriculture and human settlement.","Surveys to locate this species in recent years have not found any individuals.","Decreasing"
"Leptodactylus sertanejo","Least Concern",2008,"2008-01-01 00:00:00 UTC","Males call from natural and artificial grassland areas, near rivulets or temporary ponds. Syntopic Leptodactylus species include L. furnarius, L. fuscus, L. labyrinthicus, and L. ocellatus. Males call under dense vegetation, from within underground chambers or exposed (Giaretta and Costa, 2007).<br/><br/>The reproductive season coincides with the rainy season (September-February). It is thought to reproduce like other members of the Leptodactylus fuscus group i.e. eggs laid in excavated ground chambers close to waterbodies. Clutch size is estimated to be ca 200 eggs (A.A. Giaretta, pers. comm.).","No major threats are currently known for this species (A.A. Giaretta, pers. comm.).","This is considered to be a common species (A.A. Giaretta, pers. comm.).","Unknown"
"Rhinella veredas","Least Concern",2008,"2008-01-01 00:00:00 UTC","Individuals of this species were found in open areas (cerrado, campo cerrado, veredas, and campo sujo). No reproductive activity was observed nor tadpoles found. However, in December toadlets were found close to wet areas, but no adults. Leptodactylus troglodytes, Pleurodema diplolistris, and Physalaemus centralis are found in the same habitats as R. veredas (Brandão et al., 2007). Individuals were observed in open areas during the rainy season, but were nowhere to be seen during the dry season. It is possible that they may burrow underground. The presence of some individuals with soil on their heads and developed calluses suggest that they may bury underground. R. veredas uses large temporary pools in the rainy season in the border area of the three states (R. Brandão, pers. comm. 2008).","The main threat in the region is the rapid conversion of land to monoculture of grain crops or trees (Pinus and Eucalyptus). The region is especially fragile due to its sandy soil, easily arable land and the lack of physical barriers for the mechanized treatment of soil, allowing for a rapid land use change. There are, however, populations of this species that are found within conservation areas (Parque Nacional Grande Sertão Veredas, Refúgio de Vida Silvestre Veredas do Oeste Baiano, Parque Estadual da Serra das Araras and another four private natural heritage reserves in the area of the three state borders, such as  São Francisco da Trijunção, Sertão do Formoso, Guará and Leite Verde) (R. Brandão, pers. comm. 2008).","It is an infrequently encountered species, seen mostly at the beginning of the rainy season (October/November) (Brandão et al., 2007). It is less common than other congeneric sympatric species: R. granulosa; R. schneideri; R. cerradensis; however, it cannot be considered as rare (R. Brandão, pers. comm. 2008).","Unknown"
"Scinax cabralensis","Data Deficient",2008,"2008-01-01 00:00:00 UTC","Scinax cabralensis can be found in marshes, lakes, seasonal and permanent streams and rivers, and shrubby savanna habitats. Reproduction coincides with the rainy season (L.O. Drummond, pers. comm.). Calling males are found in high densities, during the beginning of the rainy season. They are nocturnal callers, calling from perches on the emergent shrubby vegetation and on the ground or rocks, at the margins of temporary and permanent streams, ponds, and marshes. Dendropsophus minutus, Elachistocleis ovalis, Leptodactylus labyrinthicus, Physalaemus cuvieri, Pseudopaludicola cf. mystacalis, Pseudopaludicola saltica, Scinax squalirostris and Scinax sp. were found in activity in the same site of S. cabralensis (Drummond et al., 2007).","Fires are frequent at Serra do Cabral and they always sweep a great part of the area. There are also extensive pine plantations as well as small cattle ranching in the area. Although the species is found within a reserve, this protected area does not currently have an adequate infrastructure. The amphibian species of the area are also used as fishing bait by local inhabitants. In addition, the species' area of occurrence is small (L.O. Drummond, pers. comm.).","The species is considered to be locally abundant (L.O. Drummond, pers. comm.).","Unknown"
"Ischnocnema penaxavantinho","Data Deficient",2008,"2008-01-01 00:00:00 UTC","The vegetation at the type locality (Panga) includes several Cerrado physiognomies, including “Veredas” (a vegetation dominated by grass-like plants, with dispersed bushes and Mauritia flexuosa palms) and a riverine forest running along the Panga River (2 m wide). Human altered areas are covered by the exotic grass Brachiaria sp.. The local weather presents a hot and wet summer (Sep.–Mar.), and a cold and dry winter (Apr.–Aug), when frosts may occur. Males were heard calling on the ground or perched (up to 60 cm height) amidst dense tufts of natural grass-like herbs in Veredas or on Brachiaria sp. Up to 200 m from permanently wet soil. Rarely, when fires cleared open areas from<br/>grasses, males were heard also from within forests or forest borders. Calling activity was observed between October and  March, being most intense in the afternoon and first hours of the night (Giaretta et al., 2007).","Natural wildfires may comprise a potential threat to this species.","No population status information is currently available for this species.","Unknown"
"Rhinella cerradensis","Data Deficient",2008,"2008-01-01 00:00:00 UTC","<em>Rhinella cerradensis</em> is known to occur in open Cerrado physiognomies (Cerrado and Campo Sujo). Adults were observed in March (end of the rainy season), and August to October of 2002 (from dry season to just before the beginning of the rainy season). The species is sympatric with <em>R. schneideri</em> and <em>R. veredas</em> in western Bahia and Piauí states, and with <em>R. schneideri</em> and <em>R. rubescens</em> in the states of Distrito Federal (<em>R. schneideri</em> and <em>R. rubescens</em> were found breeding in the same permanent pond as <em>R. cerradensis</em> in Brasília) and Goiás. <em>R. cerradensis</em> is predated upon by <em>Conepatus striatus</em> (Mammalia: Mustelidae). The elongate and well developed inner metatarsal tubercle suggests that <em>R. cerradensis</em> might bury itself during the dry Cerrado season as do other Neotropical species (e.g., <em>Eupemphix nattereri</em>, <em>Pleurodema diplolistris</em>, and <em>Odontophrynus cultripes</em>). (Maciel et al., 2007).","The Cerrado system in which the species exists is severely threatened by increasing deforestation, charcoal<br/>production, and large hydroelectric dams (Maciel et al., 2007).","Considered to be a rare species in the areas where it has been recorded (N. Maciel, pers. comm.).","Unknown"
"Scinax tigrinus","Least Concern",2011,"2010-10-04 00:00:00 UTC","This is a nocturnal species of open wetlands, and appears to preferentially occur in well-vegetated sites close to forest fragments (Nunes <em>et al.</em> 2010). It has been recorded from seasonal marshes during the October to March wet season, but in common with congeners is presumed to be active year-round around both temporary and permanent standing water (I. Nunes pers. comm. December 2010). The breeding mode is unknown, but frogs are presumed to breed in pond habitats.","Known populations of this species are found among natural Cerrado vegetation within a landscape undergoing agro-industrial expansion for maize, soya and sorghum (Nunes <em>et al.</em> 2010). Animals may be reliant on the presence of nearby forest, which exists only in isolated fragments within the frog's range; however as this species' is able to tolerate at least some degree of habitat degradation, it is unclear to what extent agricultural development represents a threat (I. Nunes pers. comm. December 2010).","<p>This is a common species at known sites (I. Nunes pers. comm. December 2010), but no information is available on population trends. In common with related species, this frog is likely to have strong dispersal abilities and so may be widespread throughout its range (I. Nunes pers. comm. December 2010).<br/></p>","Stable"
