Classe,Nome.Científico,Nome.Científico.Anterior,Autor,Mês.Ano.Avaliação,Categoria,Critério,Bioma,Tendência.Populacional,Ameaça
Aves,Laterallus xenopterus,Laterallus xenopterus,"Conover, 1934",Oct-18,EN,"B2ab(ii,iii)","Cerrado, Mata Atlântica",Declinando,"2.1 - Culturas anuais e perenes não-madeireiras
2.2 - Silvicultura
2.3 - Pecuária
2 - Agropecuária e Aquacultura
7.1 - Incêndios e supressão de incêndios
7.2 - Represas e uso de água
7 - Modificações nos sistemas naturais
9.3 - Agrícola e florestal
9 - Poluição"
Aves,Celeus obrieni,Celeus obrieni,"Short, 1973",Oct-18,VU,A4c,"Amazônia, Cerrado",Declinando,"2.1 - Culturas anuais e perenes não-madeireiras
2.3 - Pecuária
2 - Agropecuária e Aquacultura
3.3.1 - Hidrelétricas
3.3 - Energia renovável
3 - Produção energética e mineração
5.3 - Extração florestal
5 - Uso de recursos biológicos
7.1.1 - Aumento da frequência/intensidade de incêndios
7.1 - Incêndios e supressão de incêndios
7.3 - Outras modificações nos ecossistemas
7 - Modificações nos sistemas naturais"
Aves,Cercomacra ferdinandi,Cercomacra ferdinandi,"Snethlage, 1928",Oct-18,NT,,"Amazônia, Cerrado",Declinando,"3.3.1 - Hidrelétricas
3.3 - Energia renovável
3 - Produção energética e mineração
7.2 - Represas e uso de água
7 - Modificações nos sistemas naturais"
Aves,Asthenes luizae,Asthenes luizae,"Vielliard, 1990",Oct-18,EN,E,"Cerrado, Mata Atlântica",Declinando,"2.3 - Pecuária
2 - Agropecuária e Aquacultura
3.2 - Mineração
3 - Produção energética e mineração
6.1 - Atividades recreacionais/turísticas
6 - Distúrbios humanos
7.1.1 - Aumento da frequência/intensidade de incêndios
7.1 - Incêndios e supressão de incêndios
7 - Modificações nos sistemas naturais
8.1 - Espécies exóticas
8.3.1 - Espécie conhecida
8.3 - Espécies nativas problemáticas
8 - Espécies invasoras
problemáticas e doenças"
Aves,Alipiopsitta xanthops,Alipiopsitta xanthops,"(Spix, 1824)",Oct-18,LC,,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal",Declinando,"5.1.1.2 - Comercial - Nacional/Local
5.1.1 - Caça/captura intencional (a espécie é o alvo)
5.1 - Caça e captura de animais terrestres ou marinhos
5 - Uso de recursos biológicos
7.1.1 - Aumento da frequência/intensidade de incêndios
7.1 - Incêndios e supressão de incêndios
7 - Modificações nos sistemas naturais"
Aves,Alectrurus tricolor,Alectrurus tricolor,"(Vieillot, 1816)",Oct-18,VU,C2a(i),"Cerrado, Mata Atlântica, Pantanal",Declinando,"1.3 - Áreas de turismo e recreação
1 - Desenvolvimento residencial e comercial
2.2 - Silvicultura
2.3 - Pecuária
2 - Agropecuária e Aquacultura
7.1.1 - Aumento da frequência/intensidade de incêndios
7.1 - Incêndios e supressão de incêndios
7 - Modificações nos sistemas naturais
9.3.3 - Herbicidas e pesticidas
9.3 - Agrícola e florestal
9 - Poluição"
Aves,Columbina cyanopis,Columbina cyanopis,"(Pelzeln, 1870)",Oct-18,CR,D,Cerrado,Desconhecida,
Aves,Nyctiprogne vielliardi,Hydropsalis vielliardi,"(Lencioni-Neto, 1994)",Oct-18,EN,B2ab(iii),"Caatinga, Cerrado",Declinando,"1.1 - Expansão urbana
1.4 - Assentamentos rurais
1 - Desenvolvimento residencial e comercial
2.3 - Pecuária
2 - Agropecuária e Aquacultura
3.3.1 - Hidrelétricas
3.3 - Energia renovável
3 - Produção energética e mineração
7.1 - Incêndios e supressão de incêndios
7 - Modificações nos sistemas naturais"
Aves,Conothraupis mesoleuca,Conothraupis mesoleuca,"(Berlioz, 1939)",Oct-18,EN,C2a(i),"Amazônia, Cerrado",Declinando,"3.3.1 - Hidrelétricas
3.3 - Energia renovável
3 - Produção energética e mineração
7.2 - Represas e uso de água
7 - Modificações nos sistemas naturais"
Aves,Hydropsalis candicans,Hydropsalis candicans,"(Pelzeln, 1867)",Oct-18,EN,"B2ab(ii,iii,iv)",Cerrado,Declinando,"2.1 - Culturas anuais e perenes não-madeireiras
2.3 - Pecuária
2 - Agropecuária e Aquacultura
7.1.1 - Aumento da frequência/intensidade de incêndios
7.1 - Incêndios e supressão de incêndios
7 - Modificações nos sistemas naturais
8 - Espécies invasoras
problemáticas e doenças"
Aves,Geositta poeciloptera,Geositta poeciloptera,"(Wied, 1830)",Oct-18,VU,A3c,"Cerrado, Mata Atlântica",Declinando,"1.3 - Áreas de turismo e recreação
1 - Desenvolvimento residencial e comercial
2.1 - Culturas anuais e perenes não-madeireiras
2 - Agropecuária e Aquacultura
3.2 - Mineração
3 - Produção energética e mineração
6.1 - Atividades recreacionais/turísticas
6 - Distúrbios humanos
7.1.1 - Aumento da frequência/intensidade de incêndios
7.1 - Incêndios e supressão de incêndios
7.3 - Outras modificações nos ecossistemas
7 - Modificações nos sistemas naturais
8.1 - Espécies exóticas
8 - Espécies invasoras
problemáticas e doenças"
Aves,Coryphaspiza melanotis,Coryphaspiza melanotis,Temminck,Oct-18,VU,A2c,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal",Declinando,"1.1 - Expansão urbana
1 - Desenvolvimento residencial e comercial
2.1 - Culturas anuais e perenes não-madeireiras
2.2 - Silvicultura
2.3 - Pecuária
2 - Agropecuária e Aquacultura
3.2 - Mineração
3.3.1 - Hidrelétricas
3.3 - Energia renovável
3 - Produção energética e mineração
7.1.1 - Aumento da frequência/intensidade de incêndios
7.1 - Incêndios e supressão de incêndios
7 - Modificações nos sistemas naturais
8.1 - Espécies exóticas
8 - Espécies invasoras
problemáticas e doenças
9.3.3 - Herbicidas e pesticidas
9.3 - Agrícola e florestal
9 - Poluição"
Aves,Paroaria baeri,Paroaria baeri,"Hellmayr, 1907",Oct-18,LC,,"Amazônia, Cerrado",Desconhecida,
Aves,Antilophia galeata,Antilophia galeata,"(Lichtenstein, 1823)",Oct-18,LC,,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal",Estável,
Aves,Arremon flavirostris,Arremon flavirostris,"Swainson, 1838",Oct-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,
Aves,Augastes scutatus,Augastes scutatus,"(Temminck, 1824)",Oct-18,LC,,"Caatinga, Cerrado, Mata Atlântica",Desconhecida,"3.2 - Mineração
3 - Produção energética e mineração"
Aves,Charitospiza eucosma,Charitospiza eucosma,"Oberholser, 1905",Oct-18,LC,,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal",Declinando,"2.1 - Culturas anuais e perenes não-madeireiras
2 - Agropecuária e Aquacultura
5.1.1 - Caça/captura intencional (a espécie é o alvo)
5.1 - Caça e captura de animais terrestres ou marinhos
5 - Uso de recursos biológicos"
Aves,Clibanornis rectirostris,Clibanornis rectirostris,"(Wied, 1831)",Oct-18,LC,,"Caatinga, Cerrado, Mata Atlântica, Pantanal",Desconhecida,
Aves,Cyanocorax cristatellus,Cyanocorax cristatellus,"(Temminck, 1823)",Oct-18,LC,,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal",Desconhecida,"5.1.1.2 - Comercial - Nacional/Local
5.1.1 - Caça/captura intencional (a espécie é o alvo)
5.1 - Caça e captura de animais terrestres ou marinhos
5 - Uso de recursos biológicos"
Aves,Embernagra longicauda,Embernagra longicauda,"Strickland, 1844",Oct-18,LC,,"Caatinga, Cerrado, Mata Atlântica",Desconhecida,
Aves,Herpsilochmus longirostris,Herpsilochmus longirostris,"Pelzeln, 1868",Oct-18,LC,,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal",Desconhecida,
Aves,Melanopareia torquata,Melanopareia torquata,"(Wied, 1831)",Oct-18,LC,,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal",Desconhecida,"2 - Agropecuária e Aquacultura
8.1 - Espécies exóticas
8 - Espécies invasoras
problemáticas e doenças"
Aves,Myiothlypis leucophrys,Myiothlypis leucophrys,"Pelzeln, 1868",Oct-18,LC,,"Amazônia, Cerrado, Mata Atlântica, Pantanal",Desconhecida,
