species,latitude,longitude,taxa,icmbio.cat
Ctenomys bicolor,-12.5833,-54.8167,Mammals,EN
Ctenomys bicolor,-13.8667,-55.2667,Mammals,EN
Ctenomys bicolor,-14.8667,-57.2833,Mammals,EN
Ctenomys bicolor,-12.95,-54.9167,Mammals,EN
Ctenomys bicolor,-12.9,-54.8333,Mammals,EN
Ctenomys bicolor,-14.2167,-57.6833,Mammals,EN
Ctenomys bicolor,-11.9167,-61.0833,Mammals,EN
Ctenomys bicolor,-12.2167,-60.6833,Mammals,EN
Euryoryzomys lamia,-13.5167,-48.2167,Mammals,EN
Euryoryzomys lamia,-14.0667,-47.75,Mammals,EN
Euryoryzomys lamia,-16.3167,-48.95,Mammals,EN
Euryoryzomys lamia,-17.8,-48.5,Mammals,EN
Euryoryzomys lamia,-15.05,-48.1667,Mammals,EN
Euryoryzomys lamia,-16.15,-49.25,Mammals,EN
Euryoryzomys lamia,-18.6333,-48.1833,Mammals,EN
Gyldenstolpia planaltensis,-15.7833,-47.9333,Mammals,EN
Gyldenstolpia planaltensis,-15.5833,-47.5833,Mammals,EN
Gyldenstolpia planaltensis,-12.8167,-51.7667,Mammals,EN
Juscelinomys candango,-15.7833,-47.9333,Mammals,CR
Kerodon acrobata,-13.8333,-46.8333,Mammals,VU
Kerodon acrobata,-13.85,-46.9333,Mammals,VU
Kerodon acrobata,-13.0711,-46.7389,Mammals,VU
Kerodon acrobata,-13.2667,-46.8,Mammals,VU
Kerodon acrobata,-11.6167,-46.8167,Mammals,VU
Kerodon acrobata,-12.65,-46.4667,Mammals,VU
Lonchophylla bokermanni,-14.2667,-42.5,Mammals,VU
Lonchophylla bokermanni,-18.3833,-43.0167,Mammals,VU
Lonchophylla bokermanni,-18.2667,-43.3833,Mammals,VU
Lonchophylla bokermanni,-19.2667,-43.6,Mammals,VU
Lonchophylla bokermanni,-11.0833,-41.3,Mammals,VU
Lonchophylla bokermanni,-19.4,-43.3333,Mammals,VU
Lonchophylla dekeyseri,-14.55,-60.7,Mammals,EN
Lonchophylla dekeyseri,-15.5333,-47.8667,Mammals,EN
Lonchophylla dekeyseri,-15.6667,-48,Mammals,EN
Lonchophylla dekeyseri,-17.3333,-53.8333,Mammals,EN
Lonchophylla dekeyseri,-16.6667,-54.6667,Mammals,EN
Lonchophylla dekeyseri,-14.25,-51.75,Mammals,EN
Lonchophylla dekeyseri,-15.85,-52.25,Mammals,EN
Lonchophylla dekeyseri,-15.9333,-47.8833,Mammals,EN
Lonchophylla dekeyseri,-15.5667,-48.1167,Mammals,EN
Lonchophylla dekeyseri,-15.5,-48.1667,Mammals,EN
Lonchophylla dekeyseri,-15.5,-48.15,Mammals,EN
Lonchophylla dekeyseri,-15.8667,-48.1833,Mammals,EN
Lonchophylla dekeyseri,-19.0167,-57.75,Mammals,EN
Lonchophylla dekeyseri,-17.1142,-50.5716,Mammals,EN
Lonchophylla dekeyseri,-16.6333,-41.8333,Mammals,EN
Lonchophylla dekeyseri,-15.49,-46.36,Mammals,EN
Lonchophylla dekeyseri,-14.4833,-46.1,Mammals,EN
