species,latitude,longitude,taxa,icmbio.cat
Ameiva parecis,-12.5353,-60.4267,Reptiles,EN
Apostolepis striata,-12.6137,-60.0881,Reptiles,EN
Bachia didactyla,-13.5329,-58.7996,Reptiles,EN
Bachia didactyla,-13.0333,-58.2833,Reptiles,EN
Bachia didactyla,-12.7333,-60.1333,Reptiles,EN
Bachia psamophila,-10.0333,-48.3833,Reptiles,CR
Heterodactylus lundii,-20.2333,-46.65,Reptiles,VU
Heterodactylus lundii,-19.3333,-43.6167,Reptiles,VU
Heterodactylus lundii,-17.6667,-44.5833,Reptiles,VU
Kentropyx vanzoi,-13.9,-60.8167,Reptiles,VU
Kentropyx vanzoi,-13.95,-60.8167,Reptiles,VU
Kentropyx vanzoi,-12.5201,-60.4128,Reptiles,VU
Kentropyx vanzoi,-14.9833,-55.7333,Reptiles,VU
Kentropyx vanzoi,-15.3,-55.85,Reptiles,VU
Kentropyx vanzoi,-14.4,-56.4333,Reptiles,VU
Kentropyx vanzoi,-13.2333,-53.0667,Reptiles,VU
Kentropyx vanzoi,-14.9667,-52.3167,Reptiles,VU
Kentropyx vanzoi,-16.25,-56.6167,Reptiles,VU
Kentropyx vanzoi,-15.65,-57.2,Reptiles,VU
Kentropyx vanzoi,-12.8167,-51.7667,Reptiles,VU
Kentropyx vanzoi,-11.75,-50.7333,Reptiles,VU
Kentropyx vanzoi,-21.7667,-52.15,Reptiles,VU
Kentropyx vanzoi,-12.7333,-60.1333,Reptiles,VU
Phalotris multipunctatus,-23.7808,-56.2909,Reptiles,EN
Phalotris multipunctatus,-22.2451,-48.0635,Reptiles,EN
Phalotris multipunctatus,-21.8023,-54.5436,Reptiles,EN
Philodryas livida,-23.7808,-56.2909,Reptiles,VU
Philodryas livida,-22.7833,-49.2333,Reptiles,VU
Philodryas livida,-22.4692,-48.9875,Reptiles,VU
Philodryas livida,-20.4667,-55.8111,Reptiles,VU
Philodryas livida,-22.9472,-48.8472,Reptiles,VU
Philodryas livida,-22.2667,-47.9167,Reptiles,VU
Philodryas livida,-20.4333,-54.6333,Reptiles,VU
Philodryas livida,-22.0825,-47.8686,Reptiles,VU
Philodryas livida,-22.9833,-48.6833,Reptiles,VU
Philodryas livida,-22.25,-47.8167,Reptiles,VU
Philodryas livida,-22.7667,-48.8833,Reptiles,VU
Philodryas livida,-22.5833,-48.8,Reptiles,VU
Philodryas livida,-22.565,-47.402,Reptiles,VU
Philodryas livida,-18.2514,-52.885,Reptiles,VU
Philodryas livida,-18.1917,-52.87,Reptiles,VU
Philodryas livida,-18.1019,-52.9225,Reptiles,VU
Philodryas livida,-18.0564,-52.9408,Reptiles,VU
Philodryas livida,-18.01,-52.9733,Reptiles,VU
Philodryas livida,-17.6644,-53.2172,Reptiles,VU
Philodryas livida,-20.0767,-56.7675,Reptiles,VU
Philodryas livida,-22.7167,-48.5667,Reptiles,VU
Placosoma cipoense,-19.3333,-43.5333,Reptiles,EN
