,species,latitude,longitude
1,Adenomera cotuba*,-9.4047,-49.9831
2,Adenomera cotuba*,-12.1308,-49.1742
3,Adenomera cotuba*,-12.1308,-49.1739
4,Adenomera cotuba*,-16.6786,-49.2539
5,Adenomera cotuba*,-13.4983,-48.3484
6,Adenomera cotuba*,-10.2964,-48.1283
7,Adenomera cotuba*,-12.5894,-47.8436
8,Adenomera cotuba*,-12.4474,-45.1653
9,Adenomera cotuba*,-13.8667,-47.25
10,Adenomera cotuba*,-14.5333,-49.25
11,Adenomera saci,-14.0503,-52.3449
12,Adenomera saci,-11.221,-46.8857
13,Adenomera saci,-17.25,-53.33
14,Adenomera saci,-14.1667,-47.7833
15,Adenomera saci,-14.1622,-47.5233
16,Adenomera saci,-14.1825,-47.5347
17,Adenomera saci,-14.805,-50.9367
18,Adenomera saci,-7.8283,-48.5972
19,Adenomera saci,-15.7,-52.27
20,Adenomera saci,-15.63,-48.06
21,Adenomera saci,-9.3723,-49.843
22,Adenomera saci,-18.98,-52.17
23,Adenomera saci,-13.8683,-51.1471
24,Adenomera saci,-13.9903,-48.0922
25,Adenomera saci,-17.65,-55.22
26,Adenomera saci,-16.6,-47.55
27,Adenomera saci,-11.88,-49.63
28,Adenomera saci,-8.7385,-48.4411
29,Adenomera saci,-8.6077,-48.3038
30,Adenomera saci,-8.6194,-48.3297
31,Adenomera saci,-8.6169,-48.3202
32,Adenomera saci,-11.1356,-48.4038
33,Adenomera saci,-11.0356,-50.16
34,Adenomera saci,-10.88,-49.74
35,Adenomera saci,-10.7022,-46.7728
36,Adenomera saci,-13.4983,-48.3484
37,Adenomera saci,-17.6134,-52.7643
38,Adenomera saci,-12.3156,-50.8885
39,Adenomera saci,-10.1891,-48.1085
40,Adenomera saci,-10.2181,-48.1532
41,Adenomera saci,-10.5485,-48.484
42,Adenomera saci,-10.3319,-50.792
43,Adenomera saci,-12.2605,-48.4105
44,Adenomera saci,-12.288,-48.4155
45,Adenomera saci,-13.9497,-51.9184
46,Adenomera saci,-14.15,-48.39
47,Adenomera saci,-6.7911,-45.4736
48,Adenomera saci,-18.22,-52.84
49,Adenomera saci,-10.45,-48.4
50,Adenomera saci,-10.1166,-48.4166
51,Adenomera saci,-10.0833,-48.45
52,Adenomera saci,-14.2,-46.31
53,Adenomera saci,-12.8,-51.68
54,Akodon kadiweu,-20.7,-56.8667
55,Akodon lindberghi,-21.5833,-44.5667
56,Akodon lindberghi,-22.2943,-43.9326
57,Akodon lindberghi,-21.6833,-43.45
58,Akodon lindberghi,-20.35,-46.4833
59,Akodon lindberghi,-15.6667,-48
60,Akodon lindberghi,-21.7833,-46.5667
61,Akodon lindberghi,-21.9636,-43.3119
62,Akodon lindberghi,-22.4171,-43.0225
63,Alectrurus tricolor,-16.3333,-48.9667
64,Alectrurus tricolor,-22.8833,-49.25
65,Alectrurus tricolor,-14.1335,-47.5104
66,Alectrurus tricolor,-15.5333,-48.0667
67,Alectrurus tricolor,-20.4715,-55.7875
68,Alectrurus tricolor,-21.95,-45.8833
69,Alectrurus tricolor,-21.9475,-44.1914
70,Alectrurus tricolor,-21.1215,-56.4825
71,Alectrurus tricolor,-15.7805,-47.9304
72,Alectrurus tricolor,-23.7167,-48.5167
73,Alectrurus tricolor,-15.4167,-55.8
74,Alectrurus tricolor,-18.4085,-52.5494
75,Alectrurus tricolor,-23.8833,-48.7667
76,Alectrurus tricolor,-18.5445,-53.1295
77,Alectrurus tricolor,-22.6,-46.4833
78,Alectrurus tricolor,-19.5,-50.5
79,Alectrurus tricolor,-15.5333,-47.6167
80,Alectrurus tricolor,-22.8,-49.2167
81,Alectrurus tricolor,-22.6,-46.95
82,Alectrurus tricolor,-15.7833,-47.9167
83,Alectrurus tricolor,-15.95,-47.9333
84,Alectrurus tricolor,-21.4667,-54.9667
85,Alectrurus tricolor,-23.6333,-47.9667
86,Alectrurus tricolor,-21.2833,-54.8167
87,Alectrurus tricolor,-21.5333,-54.9833
88,Alectrurus tricolor,-19.4333,-48
89,Alectrurus tricolor,-21.7167,-44
90,Alectrurus tricolor,-19.5,-56.2167
91,Alectrurus tricolor,-22.1667,-47.9167
92,Alectrurus tricolor,-15.8333,-46.5
93,Alectrurus tricolor,-20.5333,-47.4
94,Alectrurus tricolor,-20.4625,-47.1224
95,Alectrurus tricolor,-24.05,-54.2
96,Alectrurus tricolor,-19.0395,-47.9174
97,Alectrurus tricolor,-23.4333,-47.6
98,Alectrurus tricolor,-23.5333,-46.6167
99,Alectrurus tricolor,-24.1167,-49.3333
100,Alectrurus tricolor,-23.1,-48.6167
101,Alectrurus tricolor,-22.2535,-47.8234
102,Alectrurus tricolor,-24.25,-49.7
103,Alectrurus tricolor,-19.6333,-43.8833
104,Alectrurus tricolor,-19.8333,-47.95
105,Alectrurus tricolor,-19.9965,-46.2264
106,Alectrurus tricolor,-17.5695,-52.5514
107,Alectrurus tricolor,-20.2333,-56.3667
108,Alectrurus tricolor,-22.4333,-46.9667
109,Alectrurus tricolor,-19.9667,-43.85
110,Alectrurus tricolor,-16.9167,-50.7833
111,Alectrurus tricolor,-19.7167,-44.8
112,Alectrurus tricolor,-12.6167,-47.8667
113,Alectrurus tricolor,-14.1167,-47.5167
114,Alectrurus tricolor,-18,-52.75
115,Alectrurus tricolor,-15.7167,-47.95
116,Alectrurus tricolor,-23.6667,-54
117,Alectrurus tricolor,-18.9445,-46.9934
118,Alectrurus tricolor,-22.35,-48.7667
119,Alectrurus tricolor,-22.7167,-47.6167
120,Alectrurus tricolor,-15.6167,-47.6667
121,Alectrurus tricolor,-15.9333,-47.8833
122,Alectrurus tricolor,-18.8,-47.8833
123,Alectrurus tricolor,-22.25,-47.8667
124,Alectrurus tricolor,-19.8655,-47.4404
125,Alectrurus tricolor,-16.3667,-45.0667
126,Alectrurus tricolor,-20.2455,-46.3664
127,Alectrurus tricolor,-20.25,-46.6167
128,Alectrurus tricolor,-19.45,-44.2333
129,Alectrurus tricolor,-15.8167,-48.05
130,Alectrurus tricolor,-20.4425,-54.8605
131,Alectrurus tricolor,-19.75,-47.9167
132,Alectrurus tricolor,-19.7485,-47.9324
133,Alectrurus tricolor,-16.2,-47.2833
134,Alectrurus tricolor,-19.2,-43.95
135,Alectrurus tricolor,-22.7833,-48.4
136,Alectrurus tricolor,-13.7667,-68.05
137,Alectrurus tricolor,-23.35,-55.9167
138,Alectrurus tricolor,-26.4167,-55.6667
139,Alectrurus tricolor,-22.6667,-57.35
140,Alectrurus tricolor,-22.5,-57
141,Alectrurus tricolor,-28,-58.0833
142,Alectrurus tricolor,-27.4667,-58.8333
143,Alectrurus tricolor,-14.8833,-66.85
144,Alectrurus tricolor,-14.75,-66.5
145,Alectrurus tricolor,-14.8667,-66.3167
146,Alectrurus tricolor,-15.1667,-65.5
147,Alectrurus tricolor,-24.45,-56.9833
148,Alectrurus tricolor,-23.8167,-56.3
149,Alectrurus tricolor,-23.9,-56.5667
150,Alectrurus tricolor,-17.5833,-61.7667
151,Alipiopsitta xanthops,-14.5333,-47.4333
152,Alipiopsitta xanthops,-16.2045,-48.7074
153,Alipiopsitta xanthops,-9.6215,-49.1514
154,Alipiopsitta xanthops,-20.4485,-52.8784
155,Alipiopsitta xanthops,-14.9865,-47.7844
156,Alipiopsitta xanthops,-16.0825,-48.5074
157,Alipiopsitta xanthops,-17.3155,-53.2155
158,Alipiopsitta xanthops,-14.1335,-47.5104
159,Alipiopsitta xanthops,-9.1115,-45.9304
160,Alipiopsitta xanthops,-20.3215,-49.9114
161,Alipiopsitta xanthops,-16.3275,-48.9534
162,Alipiopsitta xanthops,-22.1535,-53.7715
163,Alipiopsitta xanthops,-15.5333,-48.0667
164,Alipiopsitta xanthops,-20.0875,-51.0944
165,Alipiopsitta xanthops,-18.9655,-51.9264
166,Alipiopsitta xanthops,-20.4715,-55.7875
167,Alipiopsitta xanthops,-15.7345,-51.8314
168,Alipiopsitta xanthops,-19.5935,-46.9414
169,Alipiopsitta xanthops,-15.9167,-46.0667
170,Alipiopsitta xanthops,-14.9205,-51.0834
171,Alipiopsitta xanthops,-16.2795,-55.9585
172,Alipiopsitta xanthops,-15.8905,-52.2574
173,Alipiopsitta xanthops,-7.6895,-47.6834
174,Alipiopsitta xanthops,-20.5575,-48.5684
175,Alipiopsitta xanthops,-21.7145,-52.4225
176,Alipiopsitta xanthops,-22.2955,-53.2715
177,Alipiopsitta xanthops,-22.1095,-56.5215
178,Alipiopsitta xanthops,-19.7167,-45.25
179,Alipiopsitta xanthops,-16.5675,-45.9904
180,Alipiopsitta xanthops,-21.1,-56.5167
181,Alipiopsitta xanthops,-20.9667,-56.5
182,Alipiopsitta xanthops,-21.1215,-56.4825
183,Alipiopsitta xanthops,-21.2565,-52.0374
184,Alipiopsitta xanthops,-17.0105,-46.0094
185,Alipiopsitta xanthops,-15.7805,-47.9304
186,Alipiopsitta xanthops,-15.2415,-51.1614
187,Alipiopsitta xanthops,-15.6333,-46.4167
188,Alipiopsitta xanthops,-17.3515,-44.9624
189,Alipiopsitta xanthops,-14.3333,-55.9333
190,Alipiopsitta xanthops,-17.7445,-48.6264
191,Alipiopsitta xanthops,-14.3145,-49.1524
192,Alipiopsitta xanthops,-17.6395,-47.7824
193,Alipiopsitta xanthops,-20.4435,-54.6465
194,Alipiopsitta xanthops,-19.0015,-46.3164
195,Alipiopsitta xanthops,-18.5765,-47.8774
196,Alipiopsitta xanthops,-9.2667,-49.7833
197,Alipiopsitta xanthops,-20.5835,-46.9224
198,Alipiopsitta xanthops,-18.1705,-47.9424
199,Alipiopsitta xanthops,-13.7985,-47.4584
200,Alipiopsitta xanthops,-12.6,-48.1
201,Alipiopsitta xanthops,-12.1833,-46.8
202,Alipiopsitta xanthops,-15.4615,-55.7505
203,Alipiopsitta xanthops,-14.1167,-47.5167
204,Alipiopsitta xanthops,-15.3065,-45.6184
205,Alipiopsitta xanthops,-18.4085,-52.5494
206,Alipiopsitta xanthops,-14.3975,-50.9964
207,Alipiopsitta xanthops,-14.3833,-51
208,Alipiopsitta xanthops,-15.7945,-48.7764
209,Alipiopsitta xanthops,-14.1845,-44.5344
210,Alipiopsitta xanthops,-19.8325,-54.8295
211,Alipiopsitta xanthops,-18.4667,-47.2167
212,Alipiopsitta xanthops,-18.4735,-47.2004
213,Alipiopsitta xanthops,-19.8245,-45.9044
214,Alipiopsitta xanthops,-14.5,-49.1667
215,Alipiopsitta xanthops,-17.3833,-44.8
216,Alipiopsitta xanthops,-14.4167,-56.05
217,Alipiopsitta xanthops,-19.0095,-57.6535
218,Alipiopsitta xanthops,-18.5445,-53.1295
219,Alipiopsitta xanthops,-18.5,-54.75
220,Alipiopsitta xanthops,-18.5075,-54.7605
221,Alipiopsitta xanthops,-18.2167,-54.6667
222,Alipiopsitta xanthops,-16.7695,-47.6144
223,Alipiopsitta xanthops,-15.5833,-56.0833
224,Alipiopsitta xanthops,-18.7565,-44.4314
225,Alipiopsitta xanthops,-18.1535,-47.5624
226,Alipiopsitta xanthops,-20.3445,-46.8544
227,Alipiopsitta xanthops,-11.7,-46.7333
228,Alipiopsitta xanthops,-9.8005,-49.2144
229,Alipiopsitta xanthops,-16.6525,-46.2714
230,Alipiopsitta xanthops,-18.4315,-47.6094
231,Alipiopsitta xanthops,-22.2215,-54.8065
232,Alipiopsitta xanthops,-19.2,-47.1333
233,Alipiopsitta xanthops,-15.5333,-47.6167
234,Alipiopsitta xanthops,-15.7833,-47.9167
235,Alipiopsitta xanthops,-6.55,-47.4333
236,Alipiopsitta xanthops,-15.95,-47.9333
237,Alipiopsitta xanthops,-15.9833,-55.9167
238,Alipiopsitta xanthops,-17.0667,-45.9
239,Alipiopsitta xanthops,-21.45,-56.4333
240,Alipiopsitta xanthops,-21.1,-56.2167
241,Alipiopsitta xanthops,-16.25,-57.55
242,Alipiopsitta xanthops,-18.4667,-57.3667
243,Alipiopsitta xanthops,-18.9833,-56.65
244,Alipiopsitta xanthops,-19.5833,-56.15
245,Alipiopsitta xanthops,-15.8333,-46.5
