Taxa,Family,Genus,Species,Voucher,Series,Locality,Municipality,State,Country,Latitude,Longitude,elevation
Amphibians,Leptodactylidae,Adenomera,Adenomera cotuba*,ZUFMS-AMP 12575,~12596,,Caseara,TO,Brazil,-9.4047,-49.9831,161
Amphibians,Leptodactylidae,Adenomera,Adenomera cotuba*,CHUNB 62864,,,Figueiropolis,TO,Brazil,-12.1308,-49.1742,387
Amphibians,Leptodactylidae,Adenomera,Adenomera cotuba*,,,,Figueiropolis,TO,Brazil,-12.1308,-49.1739,387
Amphibians,Leptodactylidae,Adenomera,Adenomera cotuba*,CHUNB 56517,,,Goiania,GO,Brazil,-16.6786,-49.2539,790
Amphibians,Leptodactylidae,Adenomera,Adenomera cotuba*,AAG-UFU 5052,,,Minaçu,GO,Brazil,-13.4983,-48.3484,465
Amphibians,Leptodactylidae,Adenomera,Adenomera cotuba*,AAG-UFU 2643,,,Palmas,TO,Brazil,-10.2964,-48.1283,444
Amphibians,Leptodactylidae,Adenomera,Adenomera cotuba*,AAG-UFU 2823,,,Paranã,TO,Brazil,-12.5894,-47.8436,277
Amphibians,Leptodactylidae,Adenomera,Adenomera cotuba*,ZUFG 11092,,Power Plant Sítio Grande,São Desidério ,BA,Brazil,-12.4474,-45.1653,648
Amphibians,Leptodactylidae,Adenomera,Adenomera cotuba*,AAG-UFU 1400,holotype,Chapada dos Veadeiros,Teresina de Goiás,GO,Brazil,-13.8667,-47.25,902
Amphibians,Leptodactylidae,Adenomera,Adenomera cotuba*,AAG-UFU 0808,,Chapada dos Veadeiros,Teresina de Goiás,GO,Brazil,-13.8667,-47.25,902
Amphibians,Leptodactylidae,Adenomera,Adenomera cotuba*,Sound,,,Uruacu,GO,Brazil,-14.5333,-49.25,610
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,PHV 2553,,Mata alagada,Agua Boa,MT,Brazil,-14.0503,-52.3449,468
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,MTR14753,,EESGT (Estacao Ecologica Serra Geral do Tocantins),Almas,TO,Brazil,-11.221,-46.8857,629
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,,,,Alto Araguaia,MT,Brazil,-17.25,-53.33,657
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,AAG-UFU 1339,holotype,PN Chapada dos Veadeiros,Alto Paraiso de Goias,GO,Brazil,-14.1667,-47.7833,746
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,CHUNB 49506,,"Canion I, PN Chapada dos Veadeiros",Alto Paraiso de Goias,GO,Brazil,-14.1622,-47.5233,1110
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,MZUSP 84799,,Chapada dos Veadeiros,Alto Paraiso de Goias,GO,Brazil,-14.1825,-47.5347,1018
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,MZUSP 7752,, ,Aruana,GO,Brazil,-14.805,-50.9367,277
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,Lit 2610,,Cerrado em solo de areia quartzosa,Bandeirantes do Tocantins,TO,Brazil,-7.8283,-48.5972,296
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,PHV 2695,,campo ?mido prox. a vereda dos Osteocephalus,Barra do Garcas,MT,Brazil,-15.7,-52.27,457
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,,,Pq Nac de Brasilia - Torto,Brasilia,DF,Brazil,-15.63,-48.06,1219
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,CHUNB 45600,,Parque Estadual do Cantao,Caseara,TO,Brazil,-9.3723,-49.843,209
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,,,,Cassilândia,MS,Brazil,-18.98,-52.17,584
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,MZUSP 727,,Sao Domingos - Rio das Mortes - MT,Cocalinho,MT,Brazil,-13.8683,-51.1471,292
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,CHUNB 44706,,LT Serra da Mesa,Colinas do Sul,GO,Brazil,-13.9903,-48.0922,611
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,,,,Corumbá,MG,Brazil,-17.65,-55.22,217
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,,,Capão Grande,Cristalina,GO,Brazil,-16.6,-47.55,916
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,,,,Formoso do Araguaia,TO,Brazil,-11.88,-49.63,280
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,MZUSP 127163,, ,Guarai,TO,Brazil,-8.7385,-48.4411,305
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,Lit 2607,,Campo umido,Guarai,TO,Brazil,-8.6077,-48.3038,209
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,Lit 2605,,Cerrado em solo de areia quartzosa,Guarai,TO,Brazil,-8.6194,-48.3297,223
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,Lit 2606,,Cerrado em solo de areia quartzosa,Guarai,TO,Brazil,-8.6169,-48.3202,220
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,MZUSP 127317,, ,Ipueiras,TO,Brazil,-11.1356,-48.4038,289
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,CHUNB 58135,, ,Lagoa da Confusao,TO,Brazil,-11.0356,-50.16,201
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,,,,Lagoa da Confusão,TO,Brazil,-10.88,-49.74,227
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,CHUNB 41764,,"37,2km W Mateiros Rio Novo",Mateiros,TO,Brazil,-10.7022,-46.7728,457
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,MZUSP 72584,,Serra da Mesa (Ponto 4),Minacu,GO,Brazil,-13.4983,-48.3484,465
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,ZUFG 3124,,BE6,Mineiros,GO,Brazil,-17.6134,-52.7643,824
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,CHUNB 57787,,Novo Santo Antonio, ,,Brazil,-12.3156,-50.8885,208
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,CHUNB 24407,,Palmas, ,,Brazil,-10.1891,-48.1085,539
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,Lit 1341,,Palmas,area de influencia da UHE Luis Eduardo Magalhaes,,Brazil,-10.2181,-48.1532,461
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,CHUNB 47732,,Porto Nacional,area projeto de Irrigacao Sao Joao; area E,,Brazil,-10.5485,-48.484,199
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,MZUSP 25285,,Santa Terezinha,Barra do Tapirapes,,Brazil,-10.3319,-50.792,229
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,Lit 2612,,Peixe,Campo umido,,Brazil,-12.2605,-48.4105,259
