assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
515582,135726,Bokermannohyla itapoty,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Bokermannohyla,itapoty,,,,"Lugli &amp; Haddad, 2006",LC,,3.1,Stable,Global
515757,135794,Pseudis platensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Pseudis,platensis,,,,"Gallardo, 1961",LC,,3.1,Stable,Global
516369,135889,Telmatobius sanborni,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,TELMATOBIIDAE,Telmatobius,sanborni,,,,"Schmidt, 1954",CR,A2ace+4ace,3.1,Decreasing,Global
739675,15602,Euryoryzomys lamia,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Euryoryzomys,lamia,,,,"(Thomas, 1901)",VU,"B2ab(i,iii)",3.1,Decreasing,Global
1339018,172024,Phrynops williamsi,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,CHELIDAE,Phrynops,williamsi,,,,"Rhodin &amp; Mittermeier, 1983",VU,A4cd,3.1,Decreasing,Global
1436233,176224,Amphisbaena alba,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,AMPHISBAENIDAE,Amphisbaena,alba,,,,"Linnaeus, 1758",LC,,3.1,Stable,Global
1446864,176799,Drymobius rhombifer,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Drymobius,rhombifer,,,,"(Günther, 1860)",LC,,3.1,Stable,Global
1489242,177499,Siphlophis compressus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Siphlophis,compressus,,,,"(Daudin, 1803)",LC,,3.1,Stable,Global
1781204,185660,Sphaenorhynchus botocudo,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Sphaenorhynchus,botocudo,,,,"Caramaschi, Almeida &amp; Gasparini, 2009",LC,,3.1,Unknown,Global
1782294,185753,Trachycephalus mambaiensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Trachycephalus,mambaiensis,,,,"Cintra, Silva, Silva, Garcia &amp; Zaher, 2009",LC,,3.1,Decreasing,Global
1782952,185789,Hyalinobatrachium carlesvilai,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Hyalinobatrachium,carlesvilai,,,,"Castroviejo-Fisher, Padial, Chaparro, Aguayo &amp; De la Riva, 2009",LC,,3.1,Stable,Global
1913932,188753,Brachycephalus pitanga,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BRACHYCEPHALIDAE,Brachycephalus,pitanga,,,,"Alves, Sawaya, Reis &amp; Haddad, 2009",LC,,3.1,Stable,Global
1914040,188754,Boana caipora,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Boana,caipora,,,,"(Antunes, Faivovich &amp; Haddad, 2009)",LC,,3.1,Stable,Global
1953814,190493,Bokermannohyla juiju,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Bokermannohyla,juiju,,,,"Faivovich, Lugli, Lourenço &amp; Haddad, 2009",EN,B1ab(iii),3.1,Decreasing,Global
1953988,190508,Thecadactylus rapicauda,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,PHYLLODACTYLIDAE,Thecadactylus,rapicauda,,,,"(Houttuyn, 1782)",LC,,3.1,Stable,Global
1954631,190553,Lygophis lineatus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Lygophis,lineatus,,,,"(Linnaeus, 1758)",LC,,3.1,Stable,Global
1955620,190633,Spilotes pullatus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Spilotes,pullatus,,,,"(Linnaeus, 1758)",LC,,3.1,Stable,Global
1959215,190870,Dendrophryniscus organensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Dendrophryniscus,organensis,,,,"Carvalho-e-Silva, Mongin, Izecksohn &amp; Carvalho-e-Silva, 2010",DD,,3.1,Unknown,Global
1964315,190981,Nyctimantis arapapa,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Nyctimantis,arapapa,,,,"(Pimenta, Napoli &amp; Haddad, 2009)",VU,B1ab(iii),3.1,Decreasing,Global
1966289,191002,Pristimantis reichlei,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,STRABOMANTIDAE,Pristimantis,reichlei,,,,"Padial &amp; De la Riva, 2009",LC,,3.1,Stable,Global
2180608,192947,Pristimantis academicus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,STRABOMANTIDAE,Pristimantis,academicus,,,," Lehr, Moravec &amp; Gagliardi, 2010",LC,,3.1,Unknown,Global
2477783,196915,Hemidactylus mabouia,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Hemidactylus,mabouia,,,,"(Moreau de Jonnès, 1818)",LC,,3.1,Stable,Global
2486405,197462,Boa constrictor,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,BOIDAE,Boa,constrictor,,,,"Linnaeus, 1758",LC,,3.1,Decreasing,Global
2487325,197468,Clelia clelia,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Clelia,clelia,,,,"(Daudin, 1803)",LC,,3.1,Stable,Global
2489923,197491,Imantodes cenchoa,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Imantodes,cenchoa,,,,"(Linnaeus, 1758)",LC,,3.1,Stable,Global
2490787,197497,Leptodeira annulata,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Leptodeira,annulata,,,,"(Linnaeus, 1758)",LC,,3.1,Stable,Global
2491090,197499,Leptophis ahaetulla,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Leptophis,ahaetulla,,,,"(Linnaeus, 1758)",LC,,3.1,Stable,Global
2523790,198389,Oxybelis fulgidus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Oxybelis,fulgidus,,,,"(Daudin, 1803)",LC,,3.1,Stable,Global
2523934,198390,Oxybelis aeneus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Oxybelis,aeneus,,,,"(Wagler, 1824)",LC,,3.1,Stable,Global
2524138,198391,Oxyrhopus petolarius,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Oxyrhopus,petolarius,,,,"(Linnaeus, 1758)",LC,,3.1,Unknown,Global
2526296,198423,Sibon nebulatus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Sibon,nebulatus,,,,"(Linnaeus, 1758)",LC,,3.1,Stable,Global
2532293,198540,Xenodon rabdocephalus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Xenodon,rabdocephalus,,,,"(Wied-Neuwied, 1824)",LC,,3.1,Stable,Global
