species,taxa,family,genus,species_author,binomial,author,range.cat,areaClass,year,time.slice,latitude,longitude,obs.source,New,Reference,IUCN
Adenomera cotuba,Amphibians,Leptodactylidae,Adenomera,"Adenomera cotuba* Carvalho & Giaretta, 2013b",Adenomera cotuba*,"Carvalho & Giaretta, 2013b",Partial,polygon,2013,2000-2021,-13.8667,-47.25,precise,s,Silva et al 2020,NT
Adenomera saci,Amphibians,Leptodactylidae,Adenomera,"Adenomera saci Carvalho & Giaretta, 2013a",Adenomera saci,"Carvalho & Giaretta, 2013a",Partial,polygon,2013,2000-2021,-14.1667,-47.7833,precise,n,Azevedo et al 2016; Silva et al 2020,LC
Akodon kadiweu,Mammals,Cricetidae,Akodon,"Akodon kadiweu Brandão et al., 2021",Akodon kadiweu,"Brand�o et al., 2021",Restricted,buffer,2021,2000-2021,-20.7,-56.8667,APC,s,Brand�o et al 2021,-
Akodon lindberghi,Mammals,Cricetidae,Akodon,"Akodon lindberghi Hershkovitz, 1990",Akodon lindberghi,"Hershkovitz, 1990",Partial,buffer,1990,1900-1999,-15.6667,-48,APC,s,Carmignotto et al 2012,DD
Alectrurus tricolor,Aves,Tyrannidae,Alectrurus,"Alectrurus tricolor (Vieillot, 1816)",Alectrurus tricolor,"(Vieillot, 1816)",Partial,polygon,1816,1700-1899,NA,NA,,s,Gwynne et al 2010,VU
Alipiopsitta xanthops,Aves,Psittacidae ,Alipiopsitta,"Alipiopsitta xanthops (Spix, 1824)",Alipiopsitta xanthops,"(Spix, 1824)",Wide,polygon,1824,1700-1899,NA,NA,,s,"Silva 1995; Silva 1997; Silva e Bates 2002, Gwynne et al 2010",NT
Allobates brunneus,Amphibians,Aromobatidae,Allobates,"Allobates brunneus (Cope, 1887)",Allobates brunneus,"(Cope, 1887)",Restricted,polygon,1887,1700-1899,-15.0761,-55.6342,estimated,n,Valdujo et al 2012; Azevedo et al 2016,EN
Allobates goianus,Amphibians,Aromobatidae,Allobates,"Allobates goianus (Bokermann, 1975)",Allobates goianus,"(Bokermann, 1975)",Restricted,polygon,1975,1900-1999,-14.1825,-47.5347,precise,n,Valdujo et al 2012; Azevedo et al 2016,NT
Alopoglossus collii,Lizards,Alopoglossidae,Alopoglossus,"Alopoglossus collii* Ribeiro-Junior et al., 2020",Alopoglossus collii*,"Ribeiro-Junior et al., 2020",Restricted,buffer,2020,2000-2021,-11.8626,-60.9383,precise,s,Ribeiro-Junior et al 2020,-
Ameerega berohoka,Amphibians,Dendrobatoidea,Ameerega,"Ameerega berohoka Vaz-Silva et al., 2011",Ameerega berohoka,"Vaz-Silva et al., 2011",Partial,polygon,2011,2000-2021,-16.4447,-51.3936,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Ameerega braccata,Amphibians,Dendrobatoidea,Ameerega,"Ameerega braccata (Steindachner, 1864)",Ameerega braccata,"(Steindachner, 1864)",Restricted,polygon,1864,1700-1899,-15.3864,-55.8284,estimated,n,Valdujo et al 2012; Azevedo et al 2016,LC
Ameerega flavopicta,Amphibians,Dendrobatoidea,Ameerega,"Ameerega flavopicta (Lutz, 1925)",Ameerega flavopicta,"(Lutz, 1925)",Partial,polygon,1925,1900-1999,-19.9022,-43.9597,associated,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,LC
