binomial*,species,year,New,areaClass
Adenomera cotuba*,Adenomera cotuba,2013,s,polygon
Adenomera saci,Adenomera saci,2013,n,polygon
Akodon kadiweu,Akodon kadiweu,2021,s,buffer
Akodon lindberghi,Akodon lindberghi,1990,s,buffer
Alectrurus tricolor,Alectrurus tricolor,1816,s,polygon
Alipiopsitta xanthops,Alipiopsitta xanthops,1824,s,polygon
Allobates brunneus,Allobates brunneus,1887,n,polygon
Allobates goianus,Allobates goianus,1975,n,polygon
Alopoglossus collii*,Alopoglossus collii,2020,s,buffer
Ameerega berohoka,Ameerega berohoka,2011,n,polygon
Ameerega braccata,Ameerega braccata,1864,n,polygon
Ameerega flavopicta,Ameerega flavopicta,1925,n,polygon
Ameerega picta,Ameerega picta,1838,n,polygon
Ameiva jacuba,Ameiva jacuba,2013,n,buffer
Ameiva parecis,Ameiva parecis,2003,n,buffer
Ameivula cipoensis*,Ameivula cipoensis,2014,s,buffer
Ameivula jalapensis,Ameivula jalapensis,2009,n,buffer
Ameivula mumbuca,Ameivula mumbuca,2003,n,buffer
Ameivula xacriaba*,Ameivula xacriaba,2014,s,polygon
Amphisbaena absaberi,Amphisbaena absaberi,2001,n,buffer
Amphisbaena acrobeles,Amphisbaena acrobeles,2009,n,buffer
Amphisbaena anaemariae,Amphisbaena anaemariae,1997,n,polygon
Amphisbaena bedai,Amphisbaena bedai,1991,n,polygon
Amphisbaena brevis,Amphisbaena brevis,2009,n,buffer
Amphisbaena carli,Amphisbaena carli,2010,n,buffer
Amphisbaena crisae,Amphisbaena crisae,1997,n,buffer
Amphisbaena cuiabana,Amphisbaena cuiabana,2001,n,polygon
Amphisbaena filiformis*,Amphisbaena filiformis,2016,s,buffer
Amphisbaena kraoh,Amphisbaena kraoh,1971,n,polygon
Amphisbaena leeseri,Amphisbaena leeseri,1964,n,polygon
Amphisbaena maranhensis,Amphisbaena maranhensis,2012,n,buffer
Amphisbaena mebengokre*,Amphisbaena mebengokre,2019,s,buffer
Amphisbaena neglecta,Amphisbaena neglecta,1936,n,buffer
Amphisbaena persephone*,Amphisbaena persephone,2014,s,buffer
