"species","New","percNat","Salve"
"Adenomera cotuba","s",0.6047,"LC"
"Adenomera saci","n",0.5656,"LC"
"Akodon kadiweu","s",0.9076,"DD"
"Akodon lindberghi","s",0.6385,"LC"
"Alectrurus tricolor","s",0.3756,"VU"
"Alipiopsitta xanthops","s",0.5196,"LC"
"Allobates brunneus","n",0.6139,"NT"
"Allobates goianus","n",0.659,"NT"
"Alopoglossus collii","s",0.4964,"-"
"Ameerega berohoka","n",0.3899,"LC"
"Ameerega braccata","n",0.79,"LC"
"Ameerega flavopicta","n",0.5133,"LC"
"Ameerega picta","n",0.5778,"LC"
"Ameiva jacuba","n",0.6812,"-"
"Ameiva parecis","n",0.841,"EN"
"Ameivula cipoensis","s",0.7719,"-"
"Ameivula jalapensis","n",0.9987,"LC"
"Ameivula mumbuca","n",0.9625,"LC"
"Ameivula xacriaba","s",0.8791,"LC"
"Amphisbaena absaberi","n",0.3952,"DD"
"Amphisbaena acrobeles","n",1,"LC"
"Amphisbaena anaemariae","n",0.2977,"LC"
"Amphisbaena bedai","n",0.2273,"LC"
"Amphisbaena brevis","n",0.7842,"DD"
"Amphisbaena carli","n",0.4966,"LC"
"Amphisbaena crisae","n",0.8415,"LC"
"Amphisbaena cuiabana","n",0.5735,"LC"
"Amphisbaena filiformis","s",0.6632,"DD"
"Amphisbaena kraoh","n",0.8719,"LC"
"Amphisbaena leeseri","n",0.2891,"LC"
"Amphisbaena maranhensis","n",0.8783,"DD"
"Amphisbaena mebengokre","s",0.3497,"DD"
"Amphisbaena neglecta","n",0.7486,"DD"
"Amphisbaena persephone","s",0.561,"-"
"Amphisbaena sanctaeritae","n",0.1645,"DD"
"Amphisbaena saxosa","n",0.9091,"NT"
"Amphisbaena silvestrii","n",0.5353,"LC"
"Amphisbaena steindachneri","n",0.7244,"LC"
"Amphisbaena talisiae","n",0.4231,"LC"
"Anolis meridionalis","n",0.4546,"LC"
"Antilophia galeata","s",0.499,"LC"
"Aplastodiscus lutzorum","s",0.5251,"LC"
"Apostolepis adhara","s",0.8329,"DD"
"Apostolepis albicollaris","n",0.3821,"LC"
"Apostolepis assimilis","s",0.3257,"LC"
"Apostolepis barrioi","s",0.1837,"-"
"Apostolepis cerradoensis","n",0.8491,"-"
"Apostolepis christineae","n",0.8093,"LC"
"Apostolepis flavotorquata","n",0.4657,"LC"
"Apostolepis goiasensis","n",0.3363,"LC"
"Apostolepis intermedia","n",0.5092,"LC"
"Apostolepis kikoi","s",0.3556,"DD"
"Apostolepis lineata","n",0.7205,"DD"
"Apostolepis longicaudata","n",0.9227,"LC"
"Apostolepis nelsonjorgei","n",0.7561,"LC"
"Apostolepis phillipsae","s",0.5537,"-"
"Apostolepis polylepis","n",0.8117,"LC"
"Apostolepis sanctaeritae","s",0.5582,"LC"
"Apostolepis serrana","n",0.52,"DD"
"Apostolepis striata","n",0.3994,"EN"
"Apostolepis tertulianobeui","s",0.5649,"LC"
"Apostolepis vittata","n",0.7243,"LC"
"Arremon flavirostris","s",0.3512,"LC"
"Asthenes luizae","s",0.7747,"EN"
"Atractus albuquerquei","n",0.4909,"LC"
"Atractus edioi","n",0.7236,"DD"
"Atractus pantostictus","s",0.4434,"LC"
"Atractus spinalis","n",0.9021,"DD"
"Atractus stygius","s",0.6602,"LC"
"Augastes scutatus","s",0.6077,"LC"
"Bachia bresslaui","n",0.2773,"LC"
"Bachia cacerensis","n",0.9148,"DD"
