species,binomial,taxa,family,genus,species_author,author,year,time.slice,New,IUCN,rangesize,range.cat,areaClass,rangeNat_2020,percNat,percNatCat,prot_range,prot_perc,prot_perc_cat,rangeNat_2000,loss00_20,perc_loss00_20
Adenomera cotuba,Adenomera cotuba*,Amphibians,Leptodactylidae,Adenomera,"Adenomera cotuba* Carvalho & Giaretta, 2013b","Carvalho & Giaretta, 2013b",2013,2000-2021,s,NT,206241,Partial,polygon,112972,0.6047,<80%,3399,0.0165,<5%,128349,15377,0.119806154
Adenomera saci,Adenomera saci,Amphibians,Leptodactylidae,Adenomera,"Adenomera saci Carvalho & Giaretta, 2013a","Carvalho & Giaretta, 2013a",2013,2000-2021,n,LC,731210,Partial,polygon,371462,0.5656,<80%,29189,0.0399,<5%,411612,40150,0.097543317
Akodon kadiweu,Akodon kadiweu,Mammals,Cricetidae,Akodon,"Akodon kadiweu Brandão et al., 2021","Brand�o et al., 2021",2021,2000-2021,s,-,356,Restricted,buffer,324,0.9076,>80%,93,0.2612,>17%,322,-2,-0.00621118
Akodon lindberghi,Akodon lindberghi,Mammals,Cricetidae,Akodon,"Akodon lindberghi Hershkovitz, 1990","Hershkovitz, 1990",1990,1900-1999,s,DD,2844,Partial,buffer,574,0.6385,<80%,569,0.2001,>17%,570,-4,-0.007017544
Alectrurus tricolor,Alectrurus tricolor,Birds,Tyrannidae,Alectrurus,"Alectrurus tricolor (Vieillot, 1816)","(Vieillot, 1816)",1816,1700-1899,s,VU,2797153,Partial,polygon,437702,0.3756,<50%,31263,0.0112,<5%,480721,43019,0.089488497
Alipiopsitta xanthops,Alipiopsitta xanthops,Birds,Psittacidae ,Alipiopsitta,"Alipiopsitta xanthops (Spix, 1824)","(Spix, 1824)",1824,1700-1899,s,NT,2950314,Wide,polygon,877060,0.5196,<80%,69436,0.0235,<5%,981708,104648,0.106597889
Allobates brunneus,Allobates brunneus,Amphibians,Aromobatidae,Allobates,"Allobates brunneus (Cope, 1887)","(Cope, 1887)",1887,1700-1899,n,EN,373,Restricted,polygon,229,0.6139,<80%,0,0,0%,240,11,0.045833333
Allobates goianus,Allobates goianus,Amphibians,Aromobatidae,Allobates,"Allobates goianus (Bokermann, 1975)","(Bokermann, 1975)",1975,1900-1999,n,NT,16216,Restricted,polygon,10651,0.659,<80%,312,0.0192,<5%,11267,616,0.054672939
Alopoglossus collii,Alopoglossus collii*,Reptiles,Alopoglossidae,Alopoglossus,"Alopoglossus collii* Ribeiro-Junior et al., 2020","Ribeiro-Junior et al., 2020",2020,2000-2021,s,-,1112,Restricted,buffer,552,0.4964,<50%,0,0,0%,576,24,0.041666667
Ameerega berohoka,Ameerega berohoka,Amphibians,Dendrobatoidea,Ameerega,"Ameerega berohoka Vaz-Silva et al., 2011","Vaz-Silva et al., 2011",2011,2000-2021,n,LC,110480,Partial,polygon,41319,0.3899,<50%,669,0.0061,<1%,46535,5216,0.112087676
Ameerega braccata,Ameerega braccata,Amphibians,Dendrobatoidea,Ameerega,"Ameerega braccata (Steindachner, 1864)","(Steindachner, 1864)",1864,1700-1899,n,LC,600,Restricted,polygon,474,0.79,<80%,133,0.2217,>17%,469,-5,-0.010660981
Ameerega flavopicta,Ameerega flavopicta,Amphibians,Dendrobatoidea,Ameerega,"Ameerega flavopicta (Lutz, 1925)","(Lutz, 1925)",1925,1900-1999,n,LC,868222,Partial,polygon,279326,0.5133,<80%,18023,0.0208,<5%,307455,28129,0.091489812
Ameerega picta,Ameerega picta,Amphibians,Dendrobatoidea,Ameerega,"Ameerega picta (Tschudi, 1838)","(Tschudi, 1838)",1838,1700-1899,n,LC,5921,Restricted,polygon,2283,0.5778,<80%,397,0.067,<17%,2362,79,0.033446232
Ameiva jacuba,Ameiva jacuba,Reptiles,Teiidae,Ameiva,"Ameiva jacuba Giugliano et al., 2013","Giugliano et al., 2013",2013,2000-2021,n,-,1264,Restricted,buffer,861,0.6812,<80%,570,0.4509,>17%,916,55,0.060043668
Ameiva parecis,Ameiva parecis,Reptiles,Teiidae,Ameiva,"Ameiva parecis (Colli et al., 2003)","(Colli et al., 2003)",2003,2000-2021,n,VU,372,Restricted,buffer,312,0.841,>80%,0,0,0%,338,26,0.076923077
Ameivula cipoensis,Ameivula cipoensis*,Reptiles,Teiidae,Ameivula,"Ameivula cipoensis* Arias et al., 2014a","Arias et al., 2014a",2014,2000-2021,s,-,1157,Restricted,buffer,521,0.7719,<80%,246,0.2126,>17%,515,-6,-0.011650485
Ameivula jalapensis,Ameivula jalapensis,Reptiles,Teiidae,Ameivula,"Ameivula jalapensis (Colli et al., 2009)","(Colli et al., 2009)",2009,2000-2021,n,LC,745,Restricted,buffer,743,0.9987,>80%,98,0.1315,<17%,744,1,0.001344086
Ameivula mumbuca,Ameivula mumbuca,Reptiles,Teiidae,Ameivula,"Ameivula mumbuca (Colli et al., 2003)","(Colli et al., 2003)",2003,2000-2021,n,LC,747,Restricted,buffer,718,0.9625,>80%,130,0.174,>17%,727,9,0.012379642
Ameivula xacriaba,Ameivula xacriaba*,Reptiles,Teiidae,Ameivula,"Ameivula xacriaba* Arias et al., 2014b ","Arias et al., 2014b ",2014,2000-2021,s,-,42875,Restricted,polygon,36962,0.8791,>80%,4082,0.0952,<17%,40120,3158,0.078713858
Amphisbaena absaberi,Amphisbaena absaberi,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena absaberi (Strüssmann & Carvalho, 2001)","(Strüssmann & Carvalho, 2001)",2001,2000-2021,n,DD,366,Restricted,buffer,115,0.3952,<50%,0,0,0%,162,47,0.290123457
Amphisbaena acrobeles,Amphisbaena acrobeles,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena acrobeles (Ribeiro et al., 2009)","(Ribeiro et al., 2009)",2009,2000-2021,n,LC,374,Restricted,buffer,375,1,>80%,140,0.3743,>17%,374,-1,-0.002673797
Amphisbaena anaemariae,Amphisbaena anaemariae,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena anaemariae Vanzolini, 1997","Vanzolini, 1997",1997,1900-1999,n,LC,346771,Partial,polygon,84609,0.2977,<30%,1397,0.004,<1%,92464,7855,0.084951981
Amphisbaena bedai,Amphisbaena bedai,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena bedai (Vanzolini, 1991)","(Vanzolini, 1991)",1991,1900-1999,n,LC,1543,Restricted,polygon,351,0.2273,<30%,0,0,0%,419,68,0.162291169
Amphisbaena brevis,Amphisbaena brevis,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena brevis Strüssmann & Mott, 2009","Strüssmann & Mott, 2009",2009,2000-2021,n,DD,368,Restricted,buffer,287,0.7842,<80%,0,0,0%,292,5,0.017123288
Amphisbaena carli,Amphisbaena carli,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena carli Pinna et al., 2010","Pinna et al., 2010",2010,2000-2021,n,LC,1478,Restricted,buffer,734,0.4966,<50%,59,0.0399,<5%,1340,606,0.452238806
Amphisbaena crisae,Amphisbaena crisae,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena crisae Vanzolini, 1997","Vanzolini, 1997",1997,1900-1999,n,DD,1479,Partial,buffer,1205,0.8415,>80%,328,0.2218,>17%,1235,30,0.024291498
Amphisbaena cuiabana,Amphisbaena cuiabana,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena cuiabana (Strüssmann & Carvalho, 2001)","(Strüssmann & Carvalho, 2001)",2001,2000-2021,n,LC,30163,Restricted,polygon,7893,0.5735,<80%,201,0.0067,<1%,9022,1129,0.12513855
Amphisbaena filiformis,Amphisbaena filiformis*,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena filiformis* Ribeiro et al., 2016"," Ribeiro et al., 2016",2016,2000-2021,s,-,755,Restricted,buffer,451,0.6632,<80%,0,0,0%,506,55,0.108695652
Amphisbaena kraoh,Amphisbaena kraoh,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena kraoh (Vanzolini, 1971)","(Vanzolini, 1971)",1971,1900-1999,n,LC,14095,Restricted,polygon,11923,0.8719,>80%,1531,0.1086,<17%,12895,972,0.075378054
Amphisbaena leeseri,Amphisbaena leeseri,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena leeseri Gans, 1964","Gans, 1964",1964,1900-1999,n,LC,141174,Restricted,polygon,31608,0.2891,<30%,990,0.007,<1%,35072,3464,0.098768248
Amphisbaena maranhensis,Amphisbaena maranhensis,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena maranhensis Gomes & Maciel, 2012","Gomes & Maciel, 2012",2012,2000-2021,n,DD,377,Restricted,buffer,332,0.8783,>80%,0,0,0%,349,17,0.048710602
Amphisbaena mebengokre,Amphisbaena mebengokre*,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena mebengokre* Ribeiro et al., 2019","Ribeiro et al., 2019",2019,2000-2021,s,-,365,Restricted,buffer,128,0.3497,<50%,0,0,0%,136,8,0.058823529
Amphisbaena neglecta,Amphisbaena neglecta,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena neglecta Dunn & Piatt, 1936","Dunn & Piatt, 1936",1936,1900-1999,n,DD,367,Restricted,buffer,274,0.7486,<80%,5,0.0136,<5%,275,1,0.003636364
Amphisbaena persephone,Amphisbaena persephone*,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena persephone* Pinna et al., 2014","Pinna et al., 2014",2014,2000-2021,s,-,370,Restricted,buffer,207,0.561,<80%,0,0,0%,370,163,0.440540541
Amphisbaena sanctaeritae,Amphisbaena sanctaeritae,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena sanctaeritae Vanzolini, 1994","Vanzolini, 1994",1994,1900-1999,n,CR,602,Restricted,buffer,99,0.1645,<30%,8,0.0133,<5%,91,-8,-0.087912088
Amphisbaena saxosa,Amphisbaena saxosa,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena saxosa (Castro-Mello, 2003)","(Castro-Mello, 2003)",2003,2000-2021,n,NT,375,Restricted,buffer,40,0.9091,>80%,0,0,0%,41,1,0.024390244
Amphisbaena silvestrii,Amphisbaena silvestrii,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena silvestrii Boulenger, 1902","Boulenger, 1902",1902,1900-1999,n,LC,895546,Partial,polygon,231363,0.5353,<80%,9471,0.0106,<5%,260313,28950,0.111212271
Amphisbaena steindachneri,Amphisbaena steindachneri,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena steindachneri Strauch, 1881","Strauch, 1881",1881,1700-1899,n,LC,1477,Restricted,buffer,205,0.7244,<80%,153,0.1036,<17%,210,5,0.023809524
Amphisbaena talisiae,Amphisbaena talisiae,Reptiles,Amphisbaenidae,Amphisbaena,"Amphisbaena talisiae Vanzolini, 1995","Vanzolini, 1995",1995,1900-1999,n,LC,103006,Partial,polygon,38538,0.4231,<50%,1314,0.0128,<5%,41840,3302,0.078919694
Anolis meridionalis,Anolis meridionalis,Reptiles,Dactyloidae,Anolis,"Anolis meridionalis Boettger, 1885","Boettger, 1885",1885,1700-1899,n,LC,2579006,Wide,polygon,639976,0.4546,<50%,58501,0.0227,<5%,715321,75345,0.105330334
Antilophia galeata,Antilophia galeata,Birds,Tyrannidae,Antilophia,"Antilophia galeata (Lichtenstein, 1823)","(Lichtenstein, 1823)",1823,1700-1899,s,LC,2692714,Wide,polygon,858751,0.499,<50%,58635,0.0218,<5%,958996,100245,0.104531197
Aplastodiscus lutzorum,Aplastodiscus lutzorum*,Amphibians,Hylidae,Aplastodiscus,"Aplastodiscus lutzorum* Berneck et al., 2017","Berneck et al., 2017",2017,2000-2021,s,LC,20219,Restricted,polygon,10643,0.5251,<80%,703,0.0348,<5%,11365,722,0.063528377
Apostolepis adhara,Apostolepis adhara*,Reptiles,Dipsadidae,Apostolepis,"Apostolepis adhara* França et al., 2018","França et al., 2018",2018,2000-2021,s,-,371,Restricted,buffer,309,0.8329,>80%,0,0,0%,277,-32,-0.115523466
Apostolepis albicollaris,Apostolepis albicollaris,Reptiles,Dipsadidae,Apostolepis,"Apostolepis albicollaris Lema, 2002","Lema, 2002",2002,2000-2021,n,LC,52589,Restricted,polygon,18549,0.3821,<50%,651,0.0124,<5%,20060,1511,0.075324028
Apostolepis assimilis,Apostolepis assimilis*,Reptiles,Dipsadidae,Apostolepis,"Apostolepis assimilis* (Reinhardt, 1861)","(Reinhardt, 1861)",1861,1700-1899,s,LC,1601004,Partial,polygon,291905,0.3257,<50%,12789,0.008,<1%,313465,21560,0.068779609
Apostolepis barrioi,Apostolepis barrioi*,Reptiles,Dipsadidae,Apostolepis,Apostolepis barrioi* Lema 1978,Lema 1978,1978,1900-1999,s,-,535264,Partial,polygon,41757,0.1837,<30%,405,8.00E-04,<1%,42693,936,0.021923969
Apostolepis cerradoensis,Apostolepis cerradoensis,Reptiles,Dipsadidae,Apostolepis,"Apostolepis cerradoensis Lema, 2003","Lema, 2003",2003,2000-2021,n,DD,370,Restricted,buffer,315,0.8491,>80%,0,0,0%,336,21,0.0625
Apostolepis christineae,Apostolepis christineae,Reptiles,Dipsadidae,Apostolepis,"Apostolepis christineae Lema, 2002","Lema, 2002",2002,2000-2021,n,DD,367,Restricted,buffer,297,0.8093,>80%,134,0.3651,>17%,310,13,0.041935484
Apostolepis flavotorquata,Apostolepis flavotorquata,Reptiles,Dipsadidae,Apostolepis,"Apostolepis flavotorquata (Duméril et al., 1854)","(Duméril et al., 1854)",1854,1700-1899,n,LC,1256330,Partial,polygon,437609,0.4657,<50%,23339,0.0186,<5%,484969,47360,0.097655726
Apostolepis goiasensis,Apostolepis goiasensis,Reptiles,Dipsadidae,Apostolepis,"Apostolepis goiasensis Prado, 1942","Prado, 1942",1942,1900-1999,n,LC,470835,Partial,polygon,133385,0.3363,<50%,5366,0.0114,<5%,144119,10734,0.074480117
Apostolepis intermedia,Apostolepis intermedia,Reptiles,Dipsadidae,Apostolepis,"Apostolepis intermedia Koslowsky, 1898","Koslowsky, 1898",1898,1700-1899,n,LC,1425,Partial,buffer,524,0.5092,<80%,330,0.2316,>17%,540,16,0.02962963
Apostolepis kikoi,Apostolepis kikoi*,Reptiles,Dipsadidae,Apostolepis,"Apostolepis kikoi* Santos et al., 2018","Santos et al., 2018",2018,2000-2021,s,-,1240,Restricted,buffer,441,0.3556,<50%,0,0,0%,442,1,0.002262443
Apostolepis lineata,Apostolepis lineata,Reptiles,Dipsadidae,Apostolepis,"Apostolepis lineata Cope, 1887","Cope, 1887",1887,1700-1899,n,DD,367,Restricted,buffer,263,0.7205,<80%,0,0,0%,266,3,0.011278195
Apostolepis longicaudata,Apostolepis longicaudata,Reptiles,Dipsadidae,Apostolepis,"Apostolepis longicaudata Amaral, 1921","Amaral, 1921",1921,1900-1999,n,LC,27040,Restricted,polygon,23371,0.9227,>80%,2496,0.0923,<17%,24615,1244,0.05053829
Apostolepis nelsonjorgei,Apostolepis nelsonjorgei,Reptiles,Dipsadidae,Apostolepis,"Apostolepis nelsonjorgei Lema & Renner, 2004","Lema & Renner, 2004",2004,2000-2021,n,LC,73372,Partial,polygon,42189,0.7561,<80%,2925,0.0399,<5%,47160,4971,0.105407125
Apostolepis phillipsae,Apostolepis phillipsae*,Reptiles,Dipsadidae,Apostolepis,"Apostolepis phillipsae* Harvey, 1999","Harvey, 1999",1999,1900-1999,s,VU,736,Restricted,buffer,237,0.5537,<80%,393,0.534,>17%,281,44,0.15658363
Apostolepis polylepis,Apostolepis polylepis,Reptiles,Dipsadidae,Apostolepis,"Apostolepis polylepis Amaral, 1921","Amaral, 1921",1921,1900-1999,n,LC,108297,Partial,polygon,85168,0.8117,>80%,13842,0.1278,<17%,98432,13264,0.134752926
Apostolepis sanctaeritae,Apostolepis sanctaeritae*,Reptiles,Dipsadidae,Apostolepis,"Apostolepis sanctaeritae* Werner, 1924","Werner, 1924",2005,2000-2021,s,-,673293,Partial,polygon,343056,0.5582,<80%,21821,0.0324,<5%,384081,41025,0.106813407
Apostolepis serrana,Apostolepis serrana,Reptiles,Dipsadidae,Apostolepis,"Apostolepis serrana Lema & Renner, 2006","Lema & Renner, 2006",2006,2000-2021,n,EN,371,Restricted,buffer,130,0.52,<80%,0,0,0%,154,24,0.155844156
Apostolepis striata,Apostolepis striata,Reptiles,Dipsadidae,Apostolepis,"Apostolepis striata Lema, 2004","Lema, 2004",2004,2000-2021,n,CR,371,Restricted,buffer,145,0.3994,<50%,0,0,0%,172,27,0.156976744
Apostolepis tertulianobeui,Apostolepis tertulianobeui*,Reptiles,Dipsadidae,Apostolepis,"Apostolepis tertulianobeui* Lema, 2004","Lema, 2004",2004,2000-2021,s,LC,1453,Partial,buffer,622,0.5649,<80%,0,0,0%,636,14,0.022012579
Apostolepis vittata,Apostolepis vittata,Reptiles,Dipsadidae,Apostolepis,"Apostolepis vittata (Cope, 1887)","(Cope, 1887)",1887,1700-1899,n,VU,1474,Restricted,buffer,980,0.7243,<80%,12,0.0081,<1%,1019,39,0.038272816
Arremon flavirostris,Arremon flavirostris,Birds,Passerellidae,Arremon,"Arremon flavirostris Swainson, 1838","Swainson, 1838",1838,1700-1899,s,LC,1473172,Partial,polygon,346476,0.3512,<50%,15613,0.0106,<5%,376534,30058,0.079828116
Asthenes luizae,Asthenes luizae,Birds,Furnariidae,Asthenes,"Asthenes luizae Vielliard, 1990","Vielliard, 1990",1990,1900-1999,s,NT,24900,Restricted,polygon,12703,0.7747,<80%,1989,0.0799,<17%,13487,784,0.058130051
Atractus albuquerquei,Atractus albuquerquei,Reptiles,Dipsadidae,Atractus,"Atractus albuquerquei Cunha & Nascimento, 1983","Cunha & Nascimento, 1983",1983,1900-1999,n,LC,2711519,Partial,polygon,464376,0.4909,<50%,33701,0.0124,<5%,519934,55558,0.10685587
