species,rangesize
Hylaeamys acritus,"63007"
Juscelinomys huanchacae,"1201"
Bachia psamophila,"375"
Pseudopaludicola coracoralinae*,"731"
Dendropsophus rhea,"420"
Boana stenocephala,"712"
Pseudopaludicola jazmynmcdonaldae*,"409"
Apostolepis phillipsae*,"736"
Tropidurus chromatops,"1787"
Tropidurus callathelys,"877"
Proceratophrys cururu,"2291"
Scinax curicica,"19813"
Apostolepis kikoi*,"1240"
Calassomys apicalis,"584"
Bachia cacerensis,"365"
Liotyphlops schubarti,"709"
Proceratophrys strussmannae,"236"
Physalaemus deimaticus,"2352"
Gymnodactylus guttulatus,"362"
Physalaemus evangelistai,"5445"
Bokermannohyla napolii,"904"
Pseudopaludicola atragula*,"12616"
Alopoglossus collii*,"1112"
Scinax pinimus,"719"
Amphisbaena sanctaeritae,"602"
Physalaemus claptoni*,"360"
Oreobates remotus,"933"
Helicops boitata*,"365"
Phalotris multipunctatus,"1055"
Pseudopaludicola mineira*,"722"
Phyllomys centralis,"1334"
Proceratophrys vielliardi,"21126"
Pseudis tocantins,"304291"
Proceratophrys goyana,"100782"
Proceratophrys moratoi,"226403"
Proceratophrys rotundipalpebra,"376"
Proceratophrys salvatori,"28016"
Rhachisaurus brachylepis,"28584"
Rhinella cerradensis,"611704"
Rhinella inopina,"54769"
Rhinella ocellata,"1659819"
Pseudopaludicola facureae*,"64702"
Pseudopaludicola ternetzi*,"1068878"
Pyrrhura pfrimeri,"13772"
Rhachidelus brazili,"1521523"
Rhipidomys ipukensis,"34446"
Rhipidomys macrurus,"1976730"
Saltatricula atricollis,"4504410"
Salvator duseni,"440647"
Rhinella rubescens,"724425"
Rhinella scitula,"77788"
Rhinella sebbeni*,"14562"
Rhinella veredas,"86363"
Scinax haddadorum*,"541"
Scinax machadoi,"25000"
Scinax maracaya,"9703"
Scinax rogerioi,"153012"
Scinax canastrensis,"29866"
Scinax centralis,"11094"
Scinax constrictus,"1067899"
Simophis rhinostoma,"1421441"
Sporophila nigrorufa,"107707"
Stenocercus albolineatus*,"138504"
Stenocercus quinarius,"48388"
Scinax rossaferesae*,"4627"
Scinax skaios,"38789"
Scinax tigrinus,"44500"
Scytalopus novacapitalis,"89692"
Taoniscus nanus,"1308726"
Thalpomys cerradensis,"957821"
Thalpomys lasiotis,"194904"
Thamnodynastes rutilus,"647749"
Stenocercus sinesaccus,"93473"
Guyramemua affine,"2385983"
Synallaxis simoni,"61720"
Syndactyla dimidiata,"1196783"
Heterodactylus lundii,"34452"
Holochilus sciureus,"668490"
Hoplocercus spinosus,"2749462"
Hydropsalis candicans,"1108625"
Gymnodactylus amarali,"609460"
Helicops gomesi*,"413583"
Helicops phantasma*,"88053"
Herpsilochmus longirostris,"2359869"
Kerodon acrobata,"6089"
Knipolegus franciscanus,"250655"
Kunsia tomentosus,"3560689"
Laterallus xenopterus,"835712"
Hylodes otavioi,"375"
Ischnocnema penaxavantinho,"45228"
Kentropyx paulensis,"892348"
Kentropyx vanzoi,"668452"
Leptodactylus kilombo*,"32359"
Leptodactylus pustulatus,"1805011"
Leptodactylus sertanejo,"1955949"
Lonchophylla bokermanni,"33611"
Leptodactylus brevipes*,"207024"
