species,3,4,9,11,12,15,20,21,23,24,25,29,30,33,39,40,41,46,47,48,62
Adenomera cotuba*,19078,80293,448,2666,8694,45395,378,8791,,460,413,256,112,1985,14819,679,1649,42,0,11,666
Adenomera saci,72326,210732,1893,41524,41845,172555,3777,32616,3,2499,1300,378,132,4654,59919,1046,9097,23,4,1,438
Akodon kadiweu,234,90,,0,0,19,,11,,,0,0,,0,3,,0,,,,
Akodon lindberghi,117,195,3,9,226,222,,62,,10,6,19,,8,12,,9,1,0,,
Alectrurus tricolor,147756,207604,25537,29583,41093,380763,41383,107643,,6816,2508,449,428,11217,134724,,20700,3360,3007,335,347
Alipiopsitta xanthops,210778,495581,21838,56635,99448,429274,28980,108453,3,5998,4157,1313,406,13302,179149,1046,25304,2993,1168,342,1918
Allobates brunneus,52,127,0,1,0,132,,7,,,0,,,49,1,,4,,,,
Allobates goianus,2618,6205,22,42,1317,3157,0,1047,,118,106,1,48,468,968,,45,0,,0,0
Alopoglossus collii*,451,79,0,2,20,556,0,,,2,1,,,0,,,1,,,,
Ameerega berohoka,12015,25535,557,1736,1735,44356,568,6074,,133,178,60,0,238,11469,,1272,,,,46
Ameerega braccata,99,373,2,2,0,109,,9,,2,3,,,0,0,,1,,,,
Ameerega flavopicta,61892,148780,8511,35398,25800,157971,1648,44346,,3290,1403,578,266,6878,38206,970,5774,2107,285,37,72
Ameerega picta,1736,489,,42,15,1065,,253,,6,2,0,1,1,323,,18,,,,
Ameiva jacuba,39,233,0,99,489,202,31,13,,,1,,,1,138,,18,,,,
Ameiva parecis,199,58,1,1,54,54,,0,,,1,,,0,,,3,,,,
Ameivula cipoensis*,84,134,2,8,91,49,,101,,2,0,204,0,0,0,,0,,,,
Ameivula jalapensis,18,62,,37,625,1,,0,,,0,0,,1,,,0,,,,
Ameivula mumbuca,97,248,0,37,336,14,,7,,5,1,,,0,1,,0,,,,
Ameivula xacriaba*,866,23543,106,684,11857,1577,,532,,6,63,0,,12,1891,,780,24,3,87,15
Amphisbaena absaberi,13,51,0,11,40,174,,1,,1,,,,0,,,0,,,,
Amphisbaena acrobeles,4,89,,56,225,,,,,,0,,,1,,,,,,,
Amphisbaena anaemariae,32344,40518,6836,5485,2802,117619,6686,30665,,2236,571,46,117,3414,28566,,6087,69,172,1,1
Amphisbaena bedai,301,2,5,45,1,1034,0,146,,2,1,,,2,3,,2,,,,
Amphisbaena brevis,67,212,2,0,,67,,9,,0,1,,,8,0,,0,,,,
Amphisbaena carli,22,448,1,23,240,34,,20,,,2,,,1,582,,99,1,,0,5
Amphisbaena crisae,163,241,0,467,299,170,1,13,,3,2,,,35,31,,7,,,,
Amphisbaena cuiabana,2065,5254,69,73,462,3098,75,287,,66,66,,3,39,1879,,201,,,,127
Amphisbaena filiformis*,95,229,1,4,2,188,,9,,11,2,1,,120,3,,15,,,,
Amphisbaena kraoh,1467,6136,5,457,3833,728,78,114,3,12,16,0,,27,678,11,110,,,,
Amphisbaena leeseri,18908,8589,3143,2910,1003,49481,1867,9887,,353,79,1,3,197,12188,,713,,,,
Amphisbaena maranhensis,7,311,,1,12,16,,23,,1,1,,,1,2,,3,,,,
Amphisbaena mebengokre*,26,89,,1,1,185,,44,,,1,,,11,8,,0,,,,
Amphisbaena neglecta,121,152,2,1,0,69,,11,,7,1,,,0,1,,1,,,,
Amphisbaena persephone*,2,130,0,2,73,2,,13,,,2,,,,113,,32,,,,
Amphisbaena sanctaeritae,83,6,10,6,0,30,236,189,,10,1,,,4,17,,4,1,5,0,
Amphisbaena saxosa,10,30,,0,0,4,,0,,,0,,,,,,,,,,
Amphisbaena silvestrii,64458,113324,1439,33311,17828,112639,794,15071,,833,943,64,129,2378,59772,295,8608,,,,336
Amphisbaena steindachneri,71,134,0,0,0,61,,16,,0,1,,,0,,,0,,,,
Amphisbaena talisiae,12232,19852,572,550,4876,28989,514,8523,,1324,385,12,108,1016,11053,,1024,50,8,0,4
Anolis meridionalis,184558,315021,19049,55566,72945,394158,41130,103438,3,6329,3334,672,373,11211,166854,969,23897,3189,2906,350,1881
Antilophia galeata,195187,489505,27166,58131,100307,439188,41459,122908,18,7356,4310,2018,424,13585,183400,1046,26060,3493,2902,494,1918
Aplastodiscus lutzorum*,2553,5405,60,116,2410,3590,,1548,,918,180,6,10,153,3179,,127,9,1,0,4
Apostolepis adhara*,31,225,0,0,4,52,,4,,1,5,,,49,0,,0,,,,
Apostolepis albicollaris,7275,8369,357,213,1682,14369,175,6070,,997,233,5,58,1005,6939,,778,18,6,0,0
Apostolepis assimilis*,104929,132092,28601,17444,26524,306256,40961,101669,,6547,1787,2001,213,8915,97139,,14383,3386,3015,335,70
Apostolepis barrioi*,24523,6274,12769,6614,775,73540,33361,34265,,2386,265,0,18,3571,22979,,2408,669,2664,281,
Apostolepis cerradoensis,68,172,,0,5,42,,5,,1,8,,,70,,,0,,,,
Apostolepis christineae,133,163,,1,0,61,,7,,,2,,,0,,,0,,,,
Apostolepis flavotorquata,96931,242301,7977,46942,42756,255138,31965,76739,,4618,2038,637,243,8042,99961,969,16730,2624,1832,268,1069
Apostolepis goiasensis,43760,52563,6722,29249,3394,149519,21668,39358,,2754,730,46,122,4373,33902,258,7357,137,658,50,1
Apostolepis intermedia,125,42,18,38,314,373,0,56,,5,1,,,5,28,,24,,,,
