binomial,range,rangeNat,rangeAnt,percNat,percForPlant,percPast,percSugCan,percSoy,lulcYear
Adenomera cotuba*,186838,128349,58489,0.687,0.001,0.2278,1.00E-04,0.0256,2000
Adenomera cotuba*,186835,122762,64073,0.6571,9.00E-04,0.2487,4.00E-04,0.0383,2005
Adenomera cotuba*,186834,119522,67312,0.6397,0.0014,0.2536,0.0012,0.0455,2010
Adenomera cotuba*,186836,112477,74359,0.602,0.0023,0.2676,0.0021,0.0666,2015
Adenomera cotuba*,186835,112972,73863,0.6047,0.0024,0.243,0.002,0.0793,2020
Adenomera saci,656762,411612,245150,0.6267,6.00E-04,0.268,0,0.0413,2000
Adenomera saci,656762,393913,262849,0.5998,7.00E-04,0.2779,4.00E-04,0.0595,2005
Adenomera saci,656764,385568,271196,0.5871,0.0011,0.2799,0.0019,0.0636,2010
Adenomera saci,656762,373304,283458,0.5684,0.0025,0.28,0.0053,0.0802,2015
Adenomera saci,656762,371462,285300,0.5656,0.0029,0.2627,0.0058,0.0912,2020
Akodon kadiweu,356,322,34,0.9045,0,0.0758,0,0,2000
Akodon kadiweu,357,322,35,0.902,0,0.0812,0,0,2005
Akodon kadiweu,356,322,34,0.9045,0,0.073,0,0,2010
Akodon kadiweu,355,322,33,0.907,0,0.0592,0,0.0028,2015
Akodon kadiweu,357,324,33,0.9076,0,0.0532,0,0.0084,2020
Akodon lindberghi,900,570,330,0.6333,0,0.2922,0,0,2000
Akodon lindberghi,898,573,325,0.6381,0,0.2906,0,0.0011,2005
Akodon lindberghi,900,579,321,0.6433,0.0011,0.2767,0,0.0011,2010
Akodon lindberghi,899,577,322,0.6418,0.0022,0.2659,0,0.0067,2015
Akodon lindberghi,899,574,325,0.6385,0.0033,0.2469,0,0.0133,2020
Alectrurus tricolor,1165278,480721,684557,0.4125,0.0083,0.3915,0.0137,0.0639,2000
Alectrurus tricolor,1165278,455508,709770,0.3909,0.0089,0.3848,0.0174,0.0846,2005
Alectrurus tricolor,1165277,448651,716626,0.385,0.0129,0.3687,0.0286,0.0834,2010
Alectrurus tricolor,1165271,440614,724657,0.3781,0.0193,0.3455,0.0375,0.099,2015
Alectrurus tricolor,1165253,437702,727551,0.3756,0.0219,0.3268,0.0355,0.1156,2020
